indicator,API_UserName,obs_date,OpDiv,observations,curr_date
162.142.125.247,64853912235916233429,2025-01-04,OS,47634,2025-01-04
162.142.125.255,64853912235916233429,2025-01-04,OS,47458,2025-01-04
183.215.194.158,64853912235916233429,2025-01-04,OS,40,2025-01-04
185.99.133.112,64853912235916233429,2025-01-04,OS,4,2025-01-04
193.32.162.79,64853912235916233429,2025-01-04,OS,1885,2025-01-04
193.32.162.83,64853912235916233429,2025-01-04,OS,399,2025-01-04
194.165.16.76,64853912235916233429,2025-01-04,OS,2,2025-01-04
207.244.71.82,64853912235916233429,2025-01-04,OS,8,2025-01-04
208.87.233.190,64853912235916233429,2025-01-04,OS,24,2025-01-04
221.222.184.230,64853912235916233429,2025-01-04,OS,1355,2025-01-04
61.153.184.151,64853912235916233429,2025-01-04,OS,223,2025-01-04
80.66.83.46,64853912235916233429,2025-01-04,OS,982,2025-01-04
80.66.83.49,64853912235916233429,2025-01-04,OS,2831,2025-01-04
107.189.30.69,64853912235916233429,2025-01-05,OS,6,2025-01-05
118.193.72.187,64853912235916233429,2025-01-05,OS,2002,2025-01-05
119.200.13.201,64853912235916233429,2025-01-05,OS,354,2025-01-05
146.71.50.198,64853912235916233429,2025-01-05,OS,7871,2025-01-05
147.45.112.222,64853912235916233429,2025-01-05,OS,4,2025-01-05
152.32.128.214,64853912235916233429,2025-01-05,OS,1070,2025-01-05
162.142.125.242,64853912235916233429,2025-01-05,OS,48751,2025-01-05
162.142.125.247,64853912235916233429,2025-01-05,OS,48321,2025-01-05
162.142.125.255,64853912235916233429,2025-01-05,OS,48371,2025-01-05
171.25.193.20,64853912235916233429,2025-01-05,OS,12,2025-01-05
171.25.193.77,64853912235916233429,2025-01-05,OS,10,2025-01-05
171.25.193.78,64853912235916233429,2025-01-05,OS,15,2025-01-05
172.98.33.195,64853912235916233429,2025-01-05,OS,19,2025-01-05
183.215.194.158,64853912235916233429,2025-01-05,OS,42,2025-01-05
185.129.62.62,64853912235916233429,2025-01-05,OS,13,2025-01-05
185.220.100.240,64853912235916233429,2025-01-05,OS,31,2025-01-05
185.220.101.149,64853912235916233429,2025-01-05,OS,2,2025-01-05
185.220.101.60,64853912235916233429,2025-01-05,OS,9,2025-01-05
185.241.208.204,64853912235916233429,2025-01-05,OS,44,2025-01-05
185.34.33.2,64853912235916233429,2025-01-05,OS,5,2025-01-05
193.32.162.79,64853912235916233429,2025-01-05,OS,1446,2025-01-05
194.165.16.76,64853912235916233429,2025-01-05,OS,8,2025-01-05
208.87.233.190,64853912235916233429,2025-01-05,OS,18,2025-01-05
221.222.184.230,64853912235916233429,2025-01-05,OS,1465,2025-01-05
61.153.184.151,64853912235916233429,2025-01-05,OS,250,2025-01-05
80.66.83.46,64853912235916233429,2025-01-05,OS,1095,2025-01-05
80.66.83.49,64853912235916233429,2025-01-05,OS,2995,2025-01-05
103.149.249.226,64853912235916233429,2025-01-06,OS,1,2025-01-06
107.189.30.69,64853912235916233429,2025-01-06,OS,4,2025-01-06
118.193.72.187,64853912235916233429,2025-01-06,OS,1352,2025-01-06
119.200.13.201,64853912235916233429,2025-01-06,OS,386,2025-01-06
146.70.45.166,64853912235916233429,2025-01-06,OS,6,2025-01-06
146.71.50.198,64853912235916233429,2025-01-06,OS,11377,2025-01-06
147.45.76.186,64853912235916233429,2025-01-06,OS,8,2025-01-06
152.32.128.214,64853912235916233429,2025-01-06,OS,887,2025-01-06
162.142.125.242,64853912235916233429,2025-01-06,OS,53122,2025-01-06
162.142.125.247,64853912235916233429,2025-01-06,OS,53409,2025-01-06
162.142.125.255,64853912235916233429,2025-01-06,OS,53527,2025-01-06
171.25.193.77,64853912235916233429,2025-01-06,OS,17,2025-01-06
171.25.193.78,64853912235916233429,2025-01-06,OS,11,2025-01-06
172.98.33.195,64853912235916233429,2025-01-06,OS,7,2025-01-06
183.215.194.158,64853912235916233429,2025-01-06,OS,32,2025-01-06
185.220.100.240,64853912235916233429,2025-01-06,OS,16,2025-01-06
185.241.208.204,64853912235916233429,2025-01-06,OS,75,2025-01-06
185.34.33.2,64853912235916233429,2025-01-06,OS,10,2025-01-06
185.99.133.112,64853912235916233429,2025-01-06,OS,12,2025-01-06
193.32.162.79,64853912235916233429,2025-01-06,OS,1907,2025-01-06
207.244.71.82,64853912235916233429,2025-01-06,OS,18,2025-01-06
207.244.71.84,64853912235916233429,2025-01-06,OS,34,2025-01-06
207.244.89.161,64853912235916233429,2025-01-06,OS,44,2025-01-06
207.244.89.162,64853912235916233429,2025-01-06,OS,28,2025-01-06
208.87.233.190,64853912235916233429,2025-01-06,OS,26,2025-01-06
221.222.184.230,64853912235916233429,2025-01-06,OS,1620,2025-01-06
23.106.56.37,64853912235916233429,2025-01-06,OS,2,2025-01-06
61.153.184.151,64853912235916233429,2025-01-06,OS,307,2025-01-06
80.66.83.46,64853912235916233429,2025-01-06,OS,949,2025-01-06
