indicator,API_UserName,obs_date,OpDiv,indicator_key,observations,curr_date
104.152.52.200,15920309593055310684,2025-01-16,CMS,104.152.52.200_CMS,1108,2025-01-16
104.18.32.191,15920309593055310684,2025-01-16,CMS,104.18.32.191_CMS,22,2025-01-16
104.18.68.40,15920309593055310684,2025-01-16,CMS,104.18.68.40_CMS,70,2025-01-16
104.18.69.40,15920309593055310684,2025-01-16,CMS,104.18.69.40_CMS,187,2025-01-16
104.200.72.6,64853912235916233429,2025-01-16,OS,104.200.72.6_OS,4,2025-01-16
107.189.30.69,15920309593055310684,2025-01-16,CMS,107.189.30.69_CMS,30,2025-01-16
107.189.30.69,64853912235916233429,2025-01-16,OS,107.189.30.69_OS,4,2025-01-16
107.189.8.16,15920309593055310684,2025-01-16,CMS,107.189.8.16_CMS,42,2025-01-16
118.193.72.187,15920309593055310684,2025-01-16,CMS,118.193.72.187_CMS,23373,2025-01-16
118.193.72.187,13983566077459384977,2025-01-16,FDA,118.193.72.187_FDA,2816,2025-01-16
118.193.72.187,35664937356778434955,2025-01-16,HRSA,118.193.72.187_HRSA,868,2025-01-16
118.193.72.187,80363974983666420473,2025-01-16,IHS,118.193.72.187_IHS,3,2025-01-16
118.193.72.187,64853912235916233429,2025-01-16,OS,118.193.72.187_OS,3701,2025-01-16
119.200.13.201,15920309593055310684,2025-01-16,CMS,119.200.13.201_CMS,1552,2025-01-16
119.200.13.201,13983566077459384977,2025-01-16,FDA,119.200.13.201_FDA,1195,2025-01-16
119.200.13.201,35664937356778434955,2025-01-16,HRSA,119.200.13.201_HRSA,157,2025-01-16
119.200.13.201,64853912235916233429,2025-01-16,OS,119.200.13.201_OS,246,2025-01-16
146.70.192.174,64853912235916233429,2025-01-16,OS,146.70.192.174_OS,2,2025-01-16
146.70.45.166,64853912235916233429,2025-01-16,OS,146.70.45.166_OS,7,2025-01-16
146.71.50.198,00818860012482918321,2025-01-16,CDC,146.71.50.198_CDC,3,2025-01-16
146.71.50.198,15920309593055310684,2025-01-16,CMS,146.71.50.198_CMS,46297,2025-01-16
146.71.50.198,13983566077459384977,2025-01-16,FDA,146.71.50.198_FDA,31624,2025-01-16
146.71.50.198,35664937356778434955,2025-01-16,HRSA,146.71.50.198_HRSA,4201,2025-01-16
146.71.50.198,80363974983666420473,2025-01-16,IHS,146.71.50.198_IHS,5,2025-01-16
146.71.50.198,64853912235916233429,2025-01-16,OS,146.71.50.198_OS,7239,2025-01-16
147.45.112.17,15920309593055310684,2025-01-16,CMS,147.45.112.17_CMS,27612,2025-01-16
147.45.112.17,13983566077459384977,2025-01-16,FDA,147.45.112.17_FDA,25,2025-01-16
147.45.112.222,15920309593055310684,2025-01-16,CMS,147.45.112.222_CMS,26683,2025-01-16
147.45.112.222,13983566077459384977,2025-01-16,FDA,147.45.112.222_FDA,16,2025-01-16
147.45.76.186,15920309593055310684,2025-01-16,CMS,147.45.76.186_CMS,71,2025-01-16
147.45.76.186,13983566077459384977,2025-01-16,FDA,147.45.76.186_FDA,108,2025-01-16
152.32.128.214,15920309593055310684,2025-01-16,CMS,152.32.128.214_CMS,4554,2025-01-16
152.32.128.214,13983566077459384977,2025-01-16,FDA,152.32.128.214_FDA,3457,2025-01-16
152.32.128.214,35664937356778434955,2025-01-16,HRSA,152.32.128.214_HRSA,521,2025-01-16
152.32.128.214,80363974983666420473,2025-01-16,IHS,152.32.128.214_IHS,2,2025-01-16
152.32.128.214,64853912235916233429,2025-01-16,OS,152.32.128.214_OS,733,2025-01-16
154.216.19.161,13983566077459384977,2025-01-16,FDA,154.216.19.161_FDA,56,2025-01-16
156.146.63.132,00818860012482918321,2025-01-16,CDC,156.146.63.132_CDC,2,2025-01-16
156.146.63.163,00818860012482918321,2025-01-16,CDC,156.146.63.163_CDC,4,2025-01-16
156.146.63.169,00818860012482918321,2025-01-16,CDC,156.146.63.169_CDC,4,2025-01-16
156.146.63.171,00818860012482918321,2025-01-16,CDC,156.146.63.171_CDC,4,2025-01-16
156.146.63.176,00818860012482918321,2025-01-16,CDC,156.146.63.176_CDC,6,2025-01-16
156.146.63.183,00818860012482918321,2025-01-16,CDC,156.146.63.183_CDC,4,2025-01-16
162.142.125.242,00818860012482918321,2025-01-16,CDC,162.142.125.242_CDC,1,2025-01-16
