indicator,API_UserName,obs_date,OpDiv,indicator_key,observations,curr_date
104.18.32.191,00818860012482918321,2024-02-01,CDC,104.18.32.191_CDC,3,2024-02-01
104.18.32.191,74198686107399967946,2024-02-01,VA,104.18.32.191_VA,48,2024-02-01
104.18.32.68,35664937356778434955,2024-02-01,HRSA,104.18.32.68_HRSA,2,2024-02-01
104.197.253.23,00818860012482918321,2024-02-01,CDC,104.197.253.23_CDC,72,2024-02-01
104.21.2.24,74198686107399967946,2024-02-01,VA,104.21.2.24_VA,1,2024-02-01
104.21.47.124,13520457953477229971,2024-02-01,HHS,104.21.47.124_HHS,2,2024-02-01
104.26.5.196,00818860012482918321,2024-02-01,CDC,104.26.5.196_CDC,8,2024-02-01
123.254.109.77,15920309593055310684,2024-02-01,CMS,123.254.109.77_CMS,40,2024-02-01
123.254.109.77,35664937356778434955,2024-02-01,HRSA,123.254.109.77_HRSA,755,2024-02-01
123.254.109.77,64853912235916233429,2024-02-01,OS,123.254.109.77_OS,147,2024-02-01
123.254.109.77,74198686107399967946,2024-02-01,VA,123.254.109.77_VA,2,2024-02-01
138.199.21.209,64853912235916233429,2024-02-01,OS,138.199.21.209_OS,1,2024-02-01
142.4.218.114,15920309593055310684,2024-02-01,CMS,142.4.218.114_CMS,15,2024-02-01
142.4.218.114,13983566077459384977,2024-02-01,FDA,142.4.218.114_FDA,2,2024-02-01
142.4.218.114,64853912235916233429,2024-02-01,OS,142.4.218.114_OS,4,2024-02-01
146.70.103.228,74198686107399967946,2024-02-01,VA,146.70.103.228_VA,1,2024-02-01
146.70.45.166,74198686107399967946,2024-02-01,VA,146.70.45.166_VA,4,2024-02-01
146.70.45.182,64853912235916233429,2024-02-01,OS,146.70.45.182_OS,10,2024-02-01
146.70.72.131,64853912235916233429,2024-02-01,OS,146.70.72.131_OS,2,2024-02-01
147.75.84.232,13520457953477229971,2024-02-01,HHS,147.75.84.232_HHS,4,2024-02-01
154.6.12.53,13520457953477229971,2024-02-01,HHS,154.6.12.53_HHS,1,2024-02-01
162.210.194.35,64853912235916233429,2024-02-01,OS,162.210.194.35_OS,80,2024-02-01
171.25.193.20,64853912235916233429,2024-02-01,OS,171.25.193.20_OS,9,2024-02-01
171.25.193.20,74198686107399967946,2024-02-01,VA,171.25.193.20_VA,15,2024-02-01
171.25.193.25,13983566077459384977,2024-02-01,FDA,171.25.193.25_FDA,2,2024-02-01
171.25.193.25,64853912235916233429,2024-02-01,OS,171.25.193.25_OS,10,2024-02-01
171.25.193.77,13983566077459384977,2024-02-01,FDA,171.25.193.77_FDA,2,2024-02-01
171.25.193.77,64853912235916233429,2024-02-01,OS,171.25.193.77_OS,3,2024-02-01
171.25.193.77,74198686107399967946,2024-02-01,VA,171.25.193.77_VA,15,2024-02-01
171.25.193.78,13983566077459384977,2024-02-01,FDA,171.25.193.78_FDA,4,2024-02-01
171.25.193.78,64853912235916233429,2024-02-01,OS,171.25.193.78_OS,17,2024-02-01
171.25.193.78,74198686107399967946,2024-02-01,VA,171.25.193.78_VA,9,2024-02-01
172.98.33.195,64853912235916233429,2024-02-01,OS,172.98.33.195_OS,2,2024-02-01
172.98.33.195,74198686107399967946,2024-02-01,VA,172.98.33.195_VA,22,2024-02-01
173.239.204.130,64853912235916233429,2024-02-01,OS,173.239.204.130_OS,4,2024-02-01
173.239.204.133,15920309593055310684,2024-02-01,CMS,173.239.204.133_CMS,6,2024-02-01
173.239.204.133,13983566077459384977,2024-02-01,FDA,173.239.204.133_FDA,3,2024-02-01
173.239.204.133,35664937356778434955,2024-02-01,HRSA,173.239.204.133_HRSA,1,2024-02-01
173.239.204.133,64853912235916233429,2024-02-01,OS,173.239.204.133_OS,5,2024-02-01
173.239.204.134,64853912235916233429,2024-02-01,OS,173.239.204.134_OS,2,2024-02-01
173.53.43.7,74198686107399967946,2024-02-01,VA,173.53.43.7_VA,7,2024-02-01
178.175.129.35,00818860012482918321,2024-02-01,CDC,178.175.129.35_CDC,2,2024-02-01
178.175.129.37,00818860012482918321,2024-02-01,CDC,178.175.129.37_CDC,3,2024-02-01
184.168.131.241,74198686107399967946,2024-02-01,VA,184.168.131.241_VA,6,2024-02-01
184.170.248.5,74198686107399967946,2024-02-01,VA,184.170.248.5_VA,1,2024-02-01
185.129.62.62,15920309593055310684,2024-02-01,CMS,185.129.62.62_CMS,58,2024-02-01
185.129.62.62,13983566077459384977,2024-02-01,FDA,185.129.62.62_FDA,45,2024-02-01
185.129.62.62,35664937356778434955,2024-02-01,HRSA,185.129.62.62_HRSA,9,2024-02-01
185.129.62.62,64853912235916233429,2024-02-01,OS,185.129.62.62_OS,90,2024-02-01
185.202.220.239,74198686107399967946,2024-02-01,VA,185.202.220.239_VA,4,2024-02-01
185.220.101.182,15920309593055310684,2024-02-01,CMS,185.220.101.182_CMS,32,2024-02-01
185.220.101.182,13983566077459384977,2024-02-01,FDA,185.220.101.182_FDA,20,2024-02-01
185.220.101.182,35664937356778434955,2024-02-01,HRSA,185.220.101.182_HRSA,10,2024-02-01
185.220.101.182,64853912235916233429,2024-02-01,OS,185.220.101.182_OS,43,2024-02-01
185.220.101.58,15920309593055310684,2024-02-01,CMS,185.220.101.58_CMS,64,2024-02-01
185.220.101.58,13983566077459384977,2024-02-01,FDA,185.220.101.58_FDA,26,2024-02-01
185.220.101.58,35664937356778434955,2024-02-01,HRSA,185.220.101.58_HRSA,13,2024-02-01
185.220.101.58,64853912235916233429,2024-02-01,OS,185.220.101.58_OS,60,2024-02-01
185.220.101.60,15920309593055310684,2024-02-01,CMS,185.220.101.60_CMS,26,2024-02-01
185.220.101.60,13983566077459384977,2024-02-01,FDA,185.220.101.60_FDA,11,2024-02-01
185.220.101.60,35664937356778434955,2024-02-01,HRSA,185.220.101.60_HRSA,1,2024-02-01
185.220.101.60,64853912235916233429,2024-02-01,OS,185.220.101.60_OS,49,2024-02-01
185.230.63.171,00818860012482918321,2024-02-01,CDC,185.230.63.171_CDC,11,2024-02-01
185.230.63.171,13520457953477229971,2024-02-01,HHS,185.230.63.171_HHS,88,2024-02-01
185.230.63.171,35664937356778434955,2024-02-01,HRSA,185.230.63.171_HRSA,40,2024-02-01
185.34.33.2,15920309593055310684,2024-02-01,CMS,185.34.33.2_CMS,9,2024-02-01
185.34.33.2,13983566077459384977,2024-02-01,FDA,185.34.33.2_FDA,1,2024-02-01
185.34.33.2,35664937356778434955,2024-02-01,HRSA,185.34.33.2_HRSA,2,2024-02-01
185.34.33.2,64853912235916233429,2024-02-01,OS,185.34.33.2_OS,14,2024-02-01
185.99.133.112,64853912235916233429,2024-02-01,OS,185.99.133.112_OS,4,2024-02-01
185.99.133.112,74198686107399967946,2024-02-01,VA,185.99.133.112_VA,2,2024-02-01
192.229.221.95,00818860012482918321,2024-02-01,CDC,192.229.221.95_CDC,5,2024-02-01
192.241.239.16,15920309593055310684,2024-02-01,CMS,192.241.239.16_CMS,64855,2024-02-01
192.241.239.16,13983566077459384977,2024-02-01,FDA,192.241.239.16_FDA,111862,2024-02-01
192.241.239.16,13520457953477229971,2024-02-01,HHS,192.241.239.16_HHS,21,2024-02-01
192.241.239.16,64853912235916233429,2024-02-01,OS,192.241.239.16_OS,58,2024-02-01
192.42.116.191,64853912235916233429,2024-02-01,OS,192.42.116.191_OS,1,2024-02-01
192.42.116.192,13983566077459384977,2024-02-01,FDA,192.42.116.192_FDA,1,2024-02-01
192.42.116.192,64853912235916233429,2024-02-01,OS,192.42.116.192_OS,2,2024-02-01
193.176.211.173,13983566077459384977,2024-02-01,FDA,193.176.211.173_FDA,6,2024-02-01
193.176.211.195,13983566077459384977,2024-02-01,FDA,193.176.211.195_FDA,6,2024-02-01
198.16.70.28,64853912235916233429,2024-02-01,OS,198.16.70.28_OS,4,2024-02-01
198.16.74.203,64853912235916233429,2024-02-01,OS,198.16.74.203_OS,12,2024-02-01
198.185.159.144,74198686107399967946,2024-02-01,VA,198.185.159.144_VA,48,2024-02-01
