indicator,API_UserName,obs_date,OpDiv,indicator_key,observations,curr_date
101.89.174.236,15920309593055310684,2025-05-26,CMS,101.89.174.236_CMS,4412,2025-05-26
101.89.174.236,13983566077459384977,2025-05-26,FDA,101.89.174.236_FDA,299,2025-05-26
101.89.174.236,35664937356778434955,2025-05-26,HRSA,101.89.174.236_HRSA,98,2025-05-26
103.133.107.28,15920309593055310684,2025-05-26,CMS,103.133.107.28_CMS,53502,2025-05-26
103.133.107.28,13983566077459384977,2025-05-26,FDA,103.133.107.28_FDA,10569,2025-05-26
103.133.107.28,35664937356778434955,2025-05-26,HRSA,103.133.107.28_HRSA,1739,2025-05-26
103.133.107.28,64853912235916233429,2025-05-26,OS,103.133.107.28_OS,51,2025-05-26
103.133.107.28,74198686107399967946,2025-05-26,VA,103.133.107.28_VA,138,2025-05-26
103.147.185.248,15920309593055310684,2025-05-26,CMS,103.147.185.248_CMS,141795,2025-05-26
103.147.185.248,20790633968691748718,2025-05-26,DHA,103.147.185.248_DHA,1,2025-05-26
103.147.185.248,13983566077459384977,2025-05-26,FDA,103.147.185.248_FDA,8386,2025-05-26
103.147.185.248,35664937356778434955,2025-05-26,HRSA,103.147.185.248_HRSA,3615,2025-05-26
103.147.185.248,64853912235916233429,2025-05-26,OS,103.147.185.248_OS,91,2025-05-26
103.147.185.248,74198686107399967946,2025-05-26,VA,103.147.185.248_VA,31,2025-05-26
103.153.78.59,15920309593055310684,2025-05-26,CMS,103.153.78.59_CMS,162022,2025-05-26
103.153.78.59,35664937356778434955,2025-05-26,HRSA,103.153.78.59_HRSA,4068,2025-05-26
103.153.78.59,64853912235916233429,2025-05-26,OS,103.153.78.59_OS,83,2025-05-26
103.156.92.159,15920309593055310684,2025-05-26,CMS,103.156.92.159_CMS,115643,2025-05-26
103.156.92.159,13983566077459384977,2025-05-26,FDA,103.156.92.159_FDA,18167,2025-05-26
103.156.92.159,35664937356778434955,2025-05-26,HRSA,103.156.92.159_HRSA,36,2025-05-26
103.156.92.159,64853912235916233429,2025-05-26,OS,103.156.92.159_OS,100,2025-05-26
103.156.92.159,74198686107399967946,2025-05-26,VA,103.156.92.159_VA,46,2025-05-26
103.194.47.162,15920309593055310684,2025-05-26,CMS,103.194.47.162_CMS,1614,2025-05-26
103.194.47.162,13983566077459384977,2025-05-26,FDA,103.194.47.162_FDA,147,2025-05-26
103.194.47.162,35664937356778434955,2025-05-26,HRSA,103.194.47.162_HRSA,49,2025-05-26
103.194.47.162,74198686107399967946,2025-05-26,VA,103.194.47.162_VA,83,2025-05-26
103.203.59.0,15920309593055310684,2025-05-26,CMS,103.203.59.0_CMS,33850,2025-05-26
103.203.59.0,20790633968691748718,2025-05-26,DHA,103.203.59.0_DHA,1,2025-05-26
103.203.59.0,13983566077459384977,2025-05-26,FDA,103.203.59.0_FDA,3267,2025-05-26
103.203.59.0,35664937356778434955,2025-05-26,HRSA,103.203.59.0_HRSA,929,2025-05-26
103.203.59.0,80363974983666420473,2025-05-26,IHS,103.203.59.0_IHS,2,2025-05-26
103.203.59.0,50189120947314147395,2025-05-26,NIH,103.203.59.0_NIH,3,2025-05-26
103.203.59.0,64853912235916233429,2025-05-26,OS,103.203.59.0_OS,30,2025-05-26
103.207.37.51,15920309593055310684,2025-05-26,CMS,103.207.37.51_CMS,21,2025-05-26
104.128.161.233,74198686107399967946,2025-05-26,VA,104.128.161.233_VA,23,2025-05-26
104.152.52.105,15920309593055310684,2025-05-26,CMS,104.152.52.105_CMS,27,2025-05-26
104.152.52.105,64853912235916233429,2025-05-26,OS,104.152.52.105_OS,1,2025-05-26
104.152.52.105,74198686107399967946,2025-05-26,VA,104.152.52.105_VA,14,2025-05-26
104.152.52.110,15920309593055310684,2025-05-26,CMS,104.152.52.110_CMS,27,2025-05-26
104.152.52.110,74198686107399967946,2025-05-26,VA,104.152.52.110_VA,18,2025-05-26
104.152.52.139,15920309593055310684,2025-05-26,CMS,104.152.52.139_CMS,72,2025-05-26
104.152.52.139,74198686107399967946,2025-05-26,VA,104.152.52.139_VA,10,2025-05-26
104.152.52.148,15920309593055310684,2025-05-26,CMS,104.152.52.148_CMS,47,2025-05-26
104.152.52.148,74198686107399967946,2025-05-26,VA,104.152.52.148_VA,7,2025-05-26
104.152.52.155,15920309593055310684,2025-05-26,CMS,104.152.52.155_CMS,81,2025-05-26
104.152.52.155,13983566077459384977,2025-05-26,FDA,104.152.52.155_FDA,3,2025-05-26
104.152.52.155,64853912235916233429,2025-05-26,OS,104.152.52.155_OS,1,2025-05-26
104.152.52.155,74198686107399967946,2025-05-26,VA,104.152.52.155_VA,9,2025-05-26
104.152.52.200,15920309593055310684,2025-05-26,CMS,104.152.52.200_CMS,36,2025-05-26
104.152.52.200,13520457953477229971,2025-05-26,HHS,104.152.52.200_HHS,1,2025-05-26
104.152.52.212,15920309593055310684,2025-05-26,CMS,104.152.52.212_CMS,90,2025-05-26
104.152.52.212,74198686107399967946,2025-05-26,VA,104.152.52.212_VA,9,2025-05-26
104.152.52.216,15920309593055310684,2025-05-26,CMS,104.152.52.216_CMS,105,2025-05-26
104.152.52.216,64853912235916233429,2025-05-26,OS,104.152.52.216_OS,3,2025-05-26
104.152.52.216,74198686107399967946,2025-05-26,VA,104.152.52.216_VA,9,2025-05-26
104.152.52.225,15920309593055310684,2025-05-26,CMS,104.152.52.225_CMS,54,2025-05-26
104.152.52.225,74198686107399967946,2025-05-26,VA,104.152.52.225_VA,6,2025-05-26
104.152.52.237,15920309593055310684,2025-05-26,CMS,104.152.52.237_CMS,45,2025-05-26
104.152.52.237,13983566077459384977,2025-05-26,FDA,104.152.52.237_FDA,6,2025-05-26
104.152.52.237,35664937356778434955,2025-05-26,HRSA,104.152.52.237_HRSA,50,2025-05-26
104.152.52.237,74198686107399967946,2025-05-26,VA,104.152.52.237_VA,21,2025-05-26
104.152.52.238,15920309593055310684,2025-05-26,CMS,104.152.52.238_CMS,63,2025-05-26
104.152.52.238,64853912235916233429,2025-05-26,OS,104.152.52.238_OS,12,2025-05-26
104.152.52.238,74198686107399967946,2025-05-26,VA,104.152.52.238_VA,20,2025-05-26
104.152.52.239,15920309593055310684,2025-05-26,CMS,104.152.52.239_CMS,36,2025-05-26
104.152.52.239,74198686107399967946,2025-05-26,VA,104.152.52.239_VA,3,2025-05-26
104.152.52.242,15920309593055310684,2025-05-26,CMS,104.152.52.242_CMS,63,2025-05-26
104.152.52.242,74198686107399967946,2025-05-26,VA,104.152.52.242_VA,13,2025-05-26
104.156.155.30,15920309593055310684,2025-05-26,CMS,104.156.155.30_CMS,15,2025-05-26
104.156.155.30,35664937356778434955,2025-05-26,HRSA,104.156.155.30_HRSA,31,2025-05-26
104.156.155.30,80363974983666420473,2025-05-26,IHS,104.156.155.30_IHS,3,2025-05-26
104.156.155.30,64853912235916233429,2025-05-26,OS,104.156.155.30_OS,158,2025-05-26
104.156.155.30,74198686107399967946,2025-05-26,VA,104.156.155.30_VA,52,2025-05-26
104.156.155.31,35664937356778434955,2025-05-26,HRSA,104.156.155.31_HRSA,108,2025-05-26
104.156.155.31,64853912235916233429,2025-05-26,OS,104.156.155.31_OS,1030,2025-05-26
104.156.155.31,74198686107399967946,2025-05-26,VA,104.156.155.31_VA,41,2025-05-26
104.156.155.35,15920309593055310684,2025-05-26,CMS,104.156.155.35_CMS,297,2025-05-26
104.156.155.35,64853912235916233429,2025-05-26,OS,104.156.155.35_OS,1194,2025-05-26
104.160.6.2,20790633968691748718,2025-05-26,DHA,104.160.6.2_DHA,4,2025-05-26
104.18.32.191,74198686107399967946,2025-05-26,VA,104.18.32.191_VA,3,2025-05-26
104.18.69.40,15920309593055310684,2025-05-26,CMS,104.18.69.40_CMS,13,2025-05-26
104.21.20.66,80363974983666420473,2025-05-26,IHS,104.21.20.66_IHS,6,2025-05-26
104.21.20.66,74198686107399967946,2025-05-26,VA,104.21.20.66_VA,1,2025-05-26
104.21.3.76,74198686107399967946,2025-05-26,VA,104.21.3.76_VA,3,2025-05-26
104.21.48.1,00818860012482918321,2025-05-26,CDC,104.21.48.1_CDC,293,2025-05-26
104.21.48.1,15920309593055310684,2025-05-26,CMS,104.21.48.1_CMS,477,2025-05-26
104.21.54.132,00818860012482918321,2025-05-26,CDC,104.21.54.132_CDC,4,2025-05-26
104.234.115.162,15920309593055310684,2025-05-26,CMS,104.234.115.162_CMS,156,2025-05-26
104.234.115.162,74198686107399967946,2025-05-26,VA,104.234.115.162_VA,5,2025-05-26
104.234.115.167,15920309593055310684,2025-05-26,CMS,104.234.115.167_CMS,21,2025-05-26
104.234.115.167,20790633968691748718,2025-05-26,DHA,104.234.115.167_DHA,2,2025-05-26
104.234.115.167,74198686107399967946,2025-05-26,VA,104.234.115.167_VA,8,2025-05-26
104.237.131.164,15920309593055310684,2025-05-26,CMS,104.237.131.164_CMS,4378,2025-05-26
104.237.131.164,20790633968691748718,2025-05-26,DHA,104.237.131.164_DHA,9267,2025-05-26
104.237.131.164,13983566077459384977,2025-05-26,FDA,104.237.131.164_FDA,187,2025-05-26
104.237.131.164,35664937356778434955,2025-05-26,HRSA,104.237.131.164_HRSA,107,2025-05-26
104.237.131.164,80363974983666420473,2025-05-26,IHS,104.237.131.164_IHS,90,2025-05-26
104.237.131.164,74198686107399967946,2025-05-26,VA,104.237.131.164_VA,24,2025-05-26
104.244.79.50,74198686107399967946,2025-05-26,VA,104.244.79.50_VA,4,2025-05-26
107.189.11.181,15920309593055310684,2025-05-26,CMS,107.189.11.181_CMS,132936,2025-05-26
107.189.11.181,20790633968691748718,2025-05-26,DHA,107.189.11.181_DHA,7,2025-05-26
107.189.11.181,13983566077459384977,2025-05-26,FDA,107.189.11.181_FDA,22253,2025-05-26
107.189.11.181,35664937356778434955,2025-05-26,HRSA,107.189.11.181_HRSA,3737,2025-05-26
107.189.11.181,80363974983666420473,2025-05-26,IHS,107.189.11.181_IHS,1664,2025-05-26
107.189.11.181,64853912235916233429,2025-05-26,OS,107.189.11.181_OS,20,2025-05-26
107.189.11.181,74198686107399967946,2025-05-26,VA,107.189.11.181_VA,27,2025-05-26
107.189.13.254,15920309593055310684,2025-05-26,CMS,107.189.13.254_CMS,264,2025-05-26
107.189.13.254,13520457953477229971,2025-05-26,HHS,107.189.13.254_HHS,10,2025-05-26
107.189.3.148,15920309593055310684,2025-05-26,CMS,107.189.3.148_CMS,27,2025-05-26
107.189.3.148,13520457953477229971,2025-05-26,HHS,107.189.3.148_HHS,8,2025-05-26
