indicator,API_UserName,obs_date,OpDiv,indicator_key,observations,curr_date
104.129.24.115,13520457953477229971,2024-11-04,HHS,104.129.24.115_HHS,2,2024-11-04
104.168.83.104,15920309593055310684,2024-11-04,CMS,104.168.83.104_CMS,5512,2024-11-04
104.168.83.104,35664937356778434955,2024-11-04,HRSA,104.168.83.104_HRSA,30,2024-11-04
104.168.83.104,64853912235916233429,2024-11-04,OS,104.168.83.104_OS,1028,2024-11-04
104.18.32.191,74198686107399967946,2024-11-04,VA,104.18.32.191_VA,15,2024-11-04
104.18.68.40,15920309593055310684,2024-11-04,CMS,104.18.68.40_CMS,333,2024-11-04
104.18.69.40,15920309593055310684,2024-11-04,CMS,104.18.69.40_CMS,91,2024-11-04
104.21.3.76,74198686107399967946,2024-11-04,VA,104.21.3.76_VA,20,2024-11-04
104.21.61.32,00818860012482918321,2024-11-04,CDC,104.21.61.32_CDC,6,2024-11-04
104.219.232.126,15920309593055310684,2024-11-04,CMS,104.219.232.126_CMS,62,2024-11-04
104.219.232.126,13983566077459384977,2024-11-04,FDA,104.219.232.126_FDA,13,2024-11-04
104.219.232.126,13520457953477229971,2024-11-04,HHS,104.219.232.126_HHS,6,2024-11-04
104.219.232.126,35664937356778434955,2024-11-04,HRSA,104.219.232.126_HRSA,2,2024-11-04
104.219.232.126,64853912235916233429,2024-11-04,OS,104.219.232.126_OS,5,2024-11-04
107.173.179.59,15920309593055310684,2024-11-04,CMS,107.173.179.59_CMS,9,2024-11-04
107.173.179.59,13520457953477229971,2024-11-04,HHS,107.173.179.59_HHS,5,2024-11-04
107.189.13.254,15920309593055310684,2024-11-04,CMS,107.189.13.254_CMS,40,2024-11-04
107.189.13.254,13520457953477229971,2024-11-04,HHS,107.189.13.254_HHS,7,2024-11-04
107.189.3.148,15920309593055310684,2024-11-04,CMS,107.189.3.148_CMS,7,2024-11-04
107.189.3.148,13520457953477229971,2024-11-04,HHS,107.189.3.148_HHS,6,2024-11-04
107.189.3.94,15920309593055310684,2024-11-04,CMS,107.189.3.94_CMS,7,2024-11-04
107.189.3.94,13520457953477229971,2024-11-04,HHS,107.189.3.94_HHS,2,2024-11-04
107.189.30.69,15920309593055310684,2024-11-04,CMS,107.189.30.69_CMS,176,2024-11-04
107.189.30.69,13983566077459384977,2024-11-04,FDA,107.189.30.69_FDA,3,2024-11-04
107.189.30.69,13520457953477229971,2024-11-04,HHS,107.189.30.69_HHS,19,2024-11-04
107.189.30.69,64853912235916233429,2024-11-04,OS,107.189.30.69_OS,26,2024-11-04
107.189.8.16,15920309593055310684,2024-11-04,CMS,107.189.8.16_CMS,1,2024-11-04
107.189.8.16,13520457953477229971,2024-11-04,HHS,107.189.8.16_HHS,3,2024-11-04
116.169.1.254,13520457953477229971,2024-11-04,HHS,116.169.1.254_HHS,1,2024-11-04
118.193.72.187,15920309593055310684,2024-11-04,CMS,118.193.72.187_CMS,35315,2024-11-04
118.193.72.187,13983566077459384977,2024-11-04,FDA,118.193.72.187_FDA,3586,2024-11-04
118.193.72.187,13520457953477229971,2024-11-04,HHS,118.193.72.187_HHS,3704,2024-11-04
118.193.72.187,35664937356778434955,2024-11-04,HRSA,118.193.72.187_HRSA,770,2024-11-04
118.193.72.187,64853912235916233429,2024-11-04,OS,118.193.72.187_OS,5839,2024-11-04
119.200.13.201,15920309593055310684,2024-11-04,CMS,119.200.13.201_CMS,2449,2024-11-04
119.200.13.201,13983566077459384977,2024-11-04,FDA,119.200.13.201_FDA,1126,2024-11-04
119.200.13.201,13520457953477229971,2024-11-04,HHS,119.200.13.201_HHS,1792,2024-11-04
119.200.13.201,35664937356778434955,2024-11-04,HRSA,119.200.13.201_HRSA,285,2024-11-04
119.200.13.201,64853912235916233429,2024-11-04,OS,119.200.13.201_OS,401,2024-11-04
122.227.183.206,15920309593055310684,2024-11-04,CMS,122.227.183.206_CMS,4599,2024-11-04
122.227.183.206,64853912235916233429,2024-11-04,OS,122.227.183.206_OS,699,2024-11-04
136.144.19.51,13520457953477229971,2024-11-04,HHS,136.144.19.51_HHS,1,2024-11-04
139.59.147.83,15920309593055310684,2024-11-04,CMS,139.59.147.83_CMS,1720,2024-11-04
139.59.147.83,35664937356778434955,2024-11-04,HRSA,139.59.147.83_HRSA,477,2024-11-04
139.59.147.83,64853912235916233429,2024-11-04,OS,139.59.147.83_OS,260,2024-11-04
14.232.208.130,15920309593055310684,2024-11-04,CMS,14.232.208.130_CMS,22,2024-11-04
14.232.208.130,13520457953477229971,2024-11-04,HHS,14.232.208.130_HHS,14,2024-11-04
146.70.112.126,13520457953477229971,2024-11-04,HHS,146.70.112.126_HHS,283,2024-11-04
146.70.165.227,80363974983666420473,2024-11-04,IHS,146.70.165.227_IHS,1,2024-11-04
146.70.192.174,13520457953477229971,2024-11-04,HHS,146.70.192.174_HHS,1,2024-11-04
146.70.204.166,13520457953477229971,2024-11-04,HHS,146.70.204.166_HHS,1,2024-11-04
146.70.204.169,13520457953477229971,2024-11-04,HHS,146.70.204.169_HHS,50,2024-11-04
146.70.204.170,13520457953477229971,2024-11-04,HHS,146.70.204.170_HHS,6,2024-11-04
146.70.204.171,13520457953477229971,2024-11-04,HHS,146.70.204.171_HHS,5,2024-11-04
146.70.204.181,15920309593055310684,2024-11-04,CMS,146.70.204.181_CMS,8,2024-11-04
146.70.45.166,74198686107399967946,2024-11-04,VA,146.70.45.166_VA,42,2024-11-04
146.71.50.198,15920309593055310684,2024-11-04,CMS,146.71.50.198_CMS,21975,2024-11-04
146.71.50.198,13983566077459384977,2024-11-04,FDA,146.71.50.198_FDA,33848,2024-11-04
