indicator,API_UserName,obs_date,OpDiv,indicator_key,observations,curr_date
103.140.63.154,15920309593055310684,2025-04-26,CMS,103.140.63.154_CMS,6423,2025-04-26
103.216.220.19,20790633968691748718,2025-04-26,DHA,103.216.220.19_DHA,359,2025-04-26
103.224.182.213,50189120947314147395,2025-04-26,NIH,103.224.182.213_NIH,6,2025-04-26
103.224.182.238,50189120947314147395,2025-04-26,NIH,103.224.182.238_NIH,9,2025-04-26
103.224.212.211,50189120947314147395,2025-04-26,NIH,103.224.212.211_NIH,20,2025-04-26
103.224.212.212,50189120947314147395,2025-04-26,NIH,103.224.212.212_NIH,6,2025-04-26
103.224.212.214,50189120947314147395,2025-04-26,NIH,103.224.212.214_NIH,2,2025-04-26
104.128.161.233,74198686107399967946,2025-04-26,VA,104.128.161.233_VA,26,2025-04-26
104.143.9.111,50189120947314147395,2025-04-26,NIH,104.143.9.111_NIH,176,2025-04-26
104.152.52.200,13520457953477229971,2025-04-26,HHS,104.152.52.200_HHS,11,2025-04-26
104.152.52.200,50189120947314147395,2025-04-26,NIH,104.152.52.200_NIH,1,2025-04-26
104.152.52.215,50189120947314147395,2025-04-26,NIH,104.152.52.215_NIH,5,2025-04-26
104.160.6.2,20790633968691748718,2025-04-26,DHA,104.160.6.2_DHA,2,2025-04-26
104.18.32.191,20790633968691748718,2025-04-26,DHA,104.18.32.191_DHA,7,2025-04-26
104.18.32.191,35664937356778434955,2025-04-26,HRSA,104.18.32.191_HRSA,1,2025-04-26
104.18.32.191,74198686107399967946,2025-04-26,VA,104.18.32.191_VA,6,2025-04-26
104.18.68.40,50189120947314147395,2025-04-26,NIH,104.18.68.40_NIH,134,2025-04-26
104.18.69.40,50189120947314147395,2025-04-26,NIH,104.18.69.40_NIH,119,2025-04-26
104.192.3.74,74198686107399967946,2025-04-26,VA,104.192.3.74_VA,3,2025-04-26
104.21.112.1,50189120947314147395,2025-04-26,NIH,104.21.112.1_NIH,9648,2025-04-26
104.21.16.1,50189120947314147395,2025-04-26,NIH,104.21.16.1_NIH,5817,2025-04-26
104.21.3.76,50189120947314147395,2025-04-26,NIH,104.21.3.76_NIH,3,2025-04-26
