indicator,API_UserName,obs_date,OpDiv,indicator_key,observations,curr_date
104.18.32.191,15920309593055310684,2025-02-10,CMS,104.18.32.191_CMS,308,2025-02-10
104.18.68.40,15920309593055310684,2025-02-10,CMS,104.18.68.40_CMS,414,2025-02-10
104.18.69.40,15920309593055310684,2025-02-10,CMS,104.18.69.40_CMS,188,2025-02-10
104.200.72.6,64853912235916233429,2025-02-10,OS,104.200.72.6_OS,4,2025-02-10
104.21.3.76,80363974983666420473,2025-02-10,IHS,104.21.3.76_IHS,2,2025-02-10
104.21.48.1,00818860012482918321,2025-02-10,CDC,104.21.48.1_CDC,3905,2025-02-10
104.21.48.1,15920309593055310684,2025-02-10,CMS,104.21.48.1_CMS,4542,2025-02-10
104.21.54.132,00818860012482918321,2025-02-10,CDC,104.21.54.132_CDC,7,2025-02-10
104.21.61.32,00818860012482918321,2025-02-10,CDC,104.21.61.32_CDC,11,2025-02-10
106.12.204.212,15920309593055310684,2025-02-10,CMS,106.12.204.212_CMS,2378,2025-02-10
106.12.204.212,13983566077459384977,2025-02-10,FDA,106.12.204.212_FDA,1178,2025-02-10
106.12.204.212,35664937356778434955,2025-02-10,HRSA,106.12.204.212_HRSA,126,2025-02-10
106.12.204.212,64853912235916233429,2025-02-10,OS,106.12.204.212_OS,279,2025-02-10
107.189.3.148,13520457953477229971,2025-02-10,HHS,107.189.3.148_HHS,1,2025-02-10
107.189.30.69,15920309593055310684,2025-02-10,CMS,107.189.30.69_CMS,80,2025-02-10
107.189.30.69,13983566077459384977,2025-02-10,FDA,107.189.30.69_FDA,4,2025-02-10
111.67.194.254,15920309593055310684,2025-02-10,CMS,111.67.194.254_CMS,6854,2025-02-10
111.67.194.254,13983566077459384977,2025-02-10,FDA,111.67.194.254_FDA,3215,2025-02-10
111.67.194.254,35664937356778434955,2025-02-10,HRSA,111.67.194.254_HRSA,427,2025-02-10
111.67.194.254,64853912235916233429,2025-02-10,OS,111.67.194.254_OS,816,2025-02-10
111.67.194.39,15920309593055310684,2025-02-10,CMS,111.67.194.39_CMS,6966,2025-02-10
111.67.194.39,13983566077459384977,2025-02-10,FDA,111.67.194.39_FDA,3360,2025-02-10
111.67.194.39,35664937356778434955,2025-02-10,HRSA,111.67.194.39_HRSA,388,2025-02-10
111.67.194.39,64853912235916233429,2025-02-10,OS,111.67.194.39_OS,787,2025-02-10
118.193.72.187,15920309593055310684,2025-02-10,CMS,118.193.72.187_CMS,9714,2025-02-10
118.193.72.187,13983566077459384977,2025-02-10,FDA,118.193.72.187_FDA,3604,2025-02-10
118.193.72.187,13520457953477229971,2025-02-10,HHS,118.193.72.187_HHS,14,2025-02-10
118.193.72.187,35664937356778434955,2025-02-10,HRSA,118.193.72.187_HRSA,513,2025-02-10
118.193.72.187,80363974983666420473,2025-02-10,IHS,118.193.72.187_IHS,2,2025-02-10
118.193.72.187,64853912235916233429,2025-02-10,OS,118.193.72.187_OS,656,2025-02-10
119.200.13.201,15920309593055310684,2025-02-10,CMS,119.200.13.201_CMS,2290,2025-02-10
119.200.13.201,13983566077459384977,2025-02-10,FDA,119.200.13.201_FDA,1108,2025-02-10
119.200.13.201,13520457953477229971,2025-02-10,HHS,119.200.13.201_HHS,1394,2025-02-10
119.200.13.201,35664937356778434955,2025-02-10,HRSA,119.200.13.201_HRSA,151,2025-02-10
119.200.13.201,64853912235916233429,2025-02-10,OS,119.200.13.201_OS,276,2025-02-10
138.199.21.209,13520457953477229971,2025-02-10,HHS,138.199.21.209_HHS,1,2025-02-10
14.103.127.80,15920309593055310684,2025-02-10,CMS,14.103.127.80_CMS,1420,2025-02-10
14.103.127.80,13983566077459384977,2025-02-10,FDA,14.103.127.80_FDA,688,2025-02-10
14.103.127.80,35664937356778434955,2025-02-10,HRSA,14.103.127.80_HRSA,86,2025-02-10
14.103.127.80,64853912235916233429,2025-02-10,OS,14.103.127.80_OS,153,2025-02-10
146.70.204.182,13520457953477229971,2025-02-10,HHS,146.70.204.182_HHS,1,2025-02-10
146.70.45.166,13520457953477229971,2025-02-10,HHS,146.70.45.166_HHS,21,2025-02-10
146.70.72.131,13520457953477229971,2025-02-10,HHS,146.70.72.131_HHS,8,2025-02-10
146.71.50.198,15920309593055310684,2025-02-10,CMS,146.71.50.198_CMS,78368,2025-02-10
146.71.50.198,13983566077459384977,2025-02-10,FDA,146.71.50.198_FDA,36679,2025-02-10
146.71.50.198,13520457953477229971,2025-02-10,HHS,146.71.50.198_HHS,14176,2025-02-10
146.71.50.198,35664937356778434955,2025-02-10,HRSA,146.71.50.198_HRSA,5162,2025-02-10
146.71.50.198,80363974983666420473,2025-02-10,IHS,146.71.50.198_IHS,2,2025-02-10
146.71.50.198,64853912235916233429,2025-02-10,OS,146.71.50.198_OS,9322,2025-02-10
147.45.112.17,15920309593055310684,2025-02-10,CMS,147.45.112.17_CMS,26100,2025-02-10
147.45.112.17,13983566077459384977,2025-02-10,FDA,147.45.112.17_FDA,29,2025-02-10
147.45.112.17,13520457953477229971,2025-02-10,HHS,147.45.112.17_HHS,419,2025-02-10
147.45.112.222,15920309593055310684,2025-02-10,CMS,147.45.112.222_CMS,52500,2025-02-10
147.45.112.222,13983566077459384977,2025-02-10,FDA,147.45.112.222_FDA,30,2025-02-10
147.45.112.222,13520457953477229971,2025-02-10,HHS,147.45.112.222_HHS,424,2025-02-10
147.45.112.222,80363974983666420473,2025-02-10,IHS,147.45.112.222_IHS,3,2025-02-10
147.45.112.222,64853912235916233429,2025-02-10,OS,147.45.112.222_OS,2,2025-02-10
149.154.167.220,15920309593055310684,2025-02-10,CMS,149.154.167.220_CMS,4,2025-02-10
149.88.17.137,13520457953477229971,2025-02-10,HHS,149.88.17.137_HHS,1,2025-02-10
149.88.17.138,13520457953477229971,2025-02-10,HHS,149.88.17.138_HHS,2,2025-02-10
149.88.17.141,13520457953477229971,2025-02-10,HHS,149.88.17.141_HHS,1,2025-02-10
