indicator,API_UserName,obs_date,OpDiv,indicator_key,observations,curr_date
104.129.24.115,13520457953477229971,2025-01-25,HHS,104.129.24.115_HHS,20,2025-01-25
104.18.69.40,15920309593055310684,2025-01-25,CMS,104.18.69.40_CMS,10,2025-01-25
104.200.72.6,13520457953477229971,2025-01-25,HHS,104.200.72.6_HHS,1,2025-01-25
104.200.72.6,64853912235916233429,2025-01-25,OS,104.200.72.6_OS,2,2025-01-25
104.21.48.1,00818860012482918321,2025-01-25,CDC,104.21.48.1_CDC,494,2025-01-25
104.21.48.1,15920309593055310684,2025-01-25,CMS,104.21.48.1_CMS,244,2025-01-25
104.21.48.1,13983566077459384977,2025-01-25,FDA,104.21.48.1_FDA,4,2025-01-25
106.12.204.212,15920309593055310684,2025-01-25,CMS,106.12.204.212_CMS,1716,2025-01-25
106.12.204.212,35664937356778434955,2025-01-25,HRSA,106.12.204.212_HRSA,216,2025-01-25
106.12.204.212,64853912235916233429,2025-01-25,OS,106.12.204.212_OS,504,2025-01-25
107.189.13.254,15920309593055310684,2025-01-25,CMS,107.189.13.254_CMS,10,2025-01-25
107.189.13.254,13520457953477229971,2025-01-25,HHS,107.189.13.254_HHS,25,2025-01-25
107.189.3.148,15920309593055310684,2025-01-25,CMS,107.189.3.148_CMS,35,2025-01-25
107.189.3.148,13520457953477229971,2025-01-25,HHS,107.189.3.148_HHS,1,2025-01-25
107.189.3.94,15920309593055310684,2025-01-25,CMS,107.189.3.94_CMS,28,2025-01-25
107.189.30.69,15920309593055310684,2025-01-25,CMS,107.189.30.69_CMS,36,2025-01-25
107.189.30.69,13983566077459384977,2025-01-25,FDA,107.189.30.69_FDA,64,2025-01-25
107.189.30.69,13520457953477229971,2025-01-25,HHS,107.189.30.69_HHS,23,2025-01-25
107.189.30.69,64853912235916233429,2025-01-25,OS,107.189.30.69_OS,2,2025-01-25
111.67.194.254,15920309593055310684,2025-01-25,CMS,111.67.194.254_CMS,3069,2025-01-25
111.67.194.254,35664937356778434955,2025-01-25,HRSA,111.67.194.254_HRSA,424,2025-01-25
111.67.194.254,64853912235916233429,2025-01-25,OS,111.67.194.254_OS,948,2025-01-25
111.67.194.39,15920309593055310684,2025-01-25,CMS,111.67.194.39_CMS,3230,2025-01-25
111.67.194.39,35664937356778434955,2025-01-25,HRSA,111.67.194.39_HRSA,349,2025-01-25
111.67.194.39,64853912235916233429,2025-01-25,OS,111.67.194.39_OS,954,2025-01-25
118.193.72.187,15920309593055310684,2025-01-25,CMS,118.193.72.187_CMS,15821,2025-01-25
118.193.72.187,13983566077459384977,2025-01-25,FDA,118.193.72.187_FDA,1649,2025-01-25
118.193.72.187,13520457953477229971,2025-01-25,HHS,118.193.72.187_HHS,10920,2025-01-25
118.193.72.187,35664937356778434955,2025-01-25,HRSA,118.193.72.187_HRSA,512,2025-01-25
118.193.72.187,80363974983666420473,2025-01-25,IHS,118.193.72.187_IHS,4,2025-01-25
118.193.72.187,64853912235916233429,2025-01-25,OS,118.193.72.187_OS,5087,2025-01-25
119.200.13.201,15920309593055310684,2025-01-25,CMS,119.200.13.201_CMS,1178,2025-01-25
119.200.13.201,13983566077459384977,2025-01-25,FDA,119.200.13.201_FDA,1231,2025-01-25
119.200.13.201,13520457953477229971,2025-01-25,HHS,119.200.13.201_HHS,2687,2025-01-25
119.200.13.201,35664937356778434955,2025-01-25,HRSA,119.200.13.201_HRSA,140,2025-01-25
119.200.13.201,64853912235916233429,2025-01-25,OS,119.200.13.201_OS,372,2025-01-25
136.144.43.81,15920309593055310684,2025-01-25,CMS,136.144.43.81_CMS,77,2025-01-25
136.144.43.81,13520457953477229971,2025-01-25,HHS,136.144.43.81_HHS,498,2025-01-25
138.199.21.209,13520457953477229971,2025-01-25,HHS,138.199.21.209_HHS,1,2025-01-25
14.103.127.80,15920309593055310684,2025-01-25,CMS,14.103.127.80_CMS,938,2025-01-25
14.103.127.80,35664937356778434955,2025-01-25,HRSA,14.103.127.80_HRSA,125,2025-01-25
14.103.127.80,64853912235916233429,2025-01-25,OS,14.103.127.80_OS,313,2025-01-25
14.29.227.102,15920309593055310684,2025-01-25,CMS,14.29.227.102_CMS,4,2025-01-25
14.29.227.102,35664937356778434955,2025-01-25,HRSA,14.29.227.102_HRSA,4,2025-01-25
141.98.252.143,15920309593055310684,2025-01-25,CMS,141.98.252.143_CMS,38,2025-01-25
141.98.252.143,13983566077459384977,2025-01-25,FDA,141.98.252.143_FDA,12026,2025-01-25
141.98.252.143,13520457953477229971,2025-01-25,HHS,141.98.252.143_HHS,2,2025-01-25
141.98.252.143,35664937356778434955,2025-01-25,HRSA,141.98.252.143_HRSA,1696,2025-01-25
141.98.252.143,80363974983666420473,2025-01-25,IHS,141.98.252.143_IHS,287,2025-01-25
141.98.252.143,64853912235916233429,2025-01-25,OS,141.98.252.143_OS,18,2025-01-25
142.54.229.249,13520457953477229971,2025-01-25,HHS,142.54.229.249_HHS,1,2025-01-25
146.70.112.126,13520457953477229971,2025-01-25,HHS,146.70.112.126_HHS,4,2025-01-25
146.70.137.90,15920309593055310684,2025-01-25,CMS,146.70.137.90_CMS,11,2025-01-25
146.70.137.90,13520457953477229971,2025-01-25,HHS,146.70.137.90_HHS,5,2025-01-25
146.70.192.174,64853912235916233429,2025-01-25,OS,146.70.192.174_OS,1,2025-01-25
146.70.199.165,13520457953477229971,2025-01-25,HHS,146.70.199.165_HHS,5,2025-01-25
146.70.204.164,13520457953477229971,2025-01-25,HHS,146.70.204.164_HHS,2,2025-01-25
146.70.204.165,13520457953477229971,2025-01-25,HHS,146.70.204.165_HHS,2,2025-01-25
146.70.204.168,13520457953477229971,2025-01-25,HHS,146.70.204.168_HHS,1,2025-01-25
146.70.204.187,13520457953477229971,2025-01-25,HHS,146.70.204.187_HHS,3,2025-01-25
146.70.204.189,13520457953477229971,2025-01-25,HHS,146.70.204.189_HHS,14,2025-01-25
146.70.45.166,13520457953477229971,2025-01-25,HHS,146.70.45.166_HHS,2,2025-01-25
146.71.50.198,15920309593055310684,2025-01-25,CMS,146.71.50.198_CMS,32656,2025-01-25
146.71.50.198,13983566077459384977,2025-01-25,FDA,146.71.50.198_FDA,35215,2025-01-25
146.71.50.198,13520457953477229971,2025-01-25,HHS,146.71.50.198_HHS,42826,2025-01-25
146.71.50.198,35664937356778434955,2025-01-25,HRSA,146.71.50.198_HRSA,4564,2025-01-25
146.71.50.198,80363974983666420473,2025-01-25,IHS,146.71.50.198_IHS,2,2025-01-25
146.71.50.198,64853912235916233429,2025-01-25,OS,146.71.50.198_OS,9832,2025-01-25
147.45.112.17,15920309593055310684,2025-01-25,CMS,147.45.112.17_CMS,19360,2025-01-25
147.45.112.17,13983566077459384977,2025-01-25,FDA,147.45.112.17_FDA,15,2025-01-25
147.45.112.17,13520457953477229971,2025-01-25,HHS,147.45.112.17_HHS,775,2025-01-25
147.45.112.222,15920309593055310684,2025-01-25,CMS,147.45.112.222_CMS,18207,2025-01-25
147.45.112.222,13983566077459384977,2025-01-25,FDA,147.45.112.222_FDA,28,2025-01-25
147.45.112.222,13520457953477229971,2025-01-25,HHS,147.45.112.222_HHS,459,2025-01-25
147.45.112.222,64853912235916233429,2025-01-25,OS,147.45.112.222_OS,2,2025-01-25
147.45.76.186,15920309593055310684,2025-01-25,CMS,147.45.76.186_CMS,8,2025-01-25
147.45.76.186,13983566077459384977,2025-01-25,FDA,147.45.76.186_FDA,8,2025-01-25
147.45.76.186,13520457953477229971,2025-01-25,HHS,147.45.76.186_HHS,9,2025-01-25
147.45.76.186,35664937356778434955,2025-01-25,HRSA,147.45.76.186_HRSA,4,2025-01-25
147.45.76.186,64853912235916233429,2025-01-25,OS,147.45.76.186_OS,11,2025-01-25
149.88.17.131,13520457953477229971,2025-01-25,HHS,149.88.17.131_HHS,1,2025-01-25
149.88.17.133,13520457953477229971,2025-01-25,HHS,149.88.17.133_HHS,5,2025-01-25
149.88.17.134,13520457953477229971,2025-01-25,HHS,149.88.17.134_HHS,2,2025-01-25
149.88.17.138,13520457953477229971,2025-01-25,HHS,149.88.17.138_HHS,1,2025-01-25
149.88.17.140,13520457953477229971,2025-01-25,HHS,149.88.17.140_HHS,2,2025-01-25
149.88.27.197,13520457953477229971,2025-01-25,HHS,149.88.27.197_HHS,4,2025-01-25
149.88.27.198,15920309593055310684,2025-01-25,CMS,149.88.27.198_CMS,1,2025-01-25
149.88.27.198,13520457953477229971,2025-01-25,HHS,149.88.27.198_HHS,2,2025-01-25
149.88.27.199,13520457953477229971,2025-01-25,HHS,149.88.27.199_HHS,2,2025-01-25
