indicator,API_UserName,obs_date,OpDiv,indicator_key,observations,curr_date
103.151.172.28,13520457953477229971,2024-10-17,HHS,103.151.172.28_HHS,17,2024-10-17
103.56.61.144,15920309593055310684,2024-10-17,CMS,103.56.61.144_CMS,128,2024-10-17
103.56.61.144,13520457953477229971,2024-10-17,HHS,103.56.61.144_HHS,294339,2024-10-17
104.168.83.104,15920309593055310684,2024-10-17,CMS,104.168.83.104_CMS,11015,2024-10-17
104.168.83.104,35664937356778434955,2024-10-17,HRSA,104.168.83.104_HRSA,108,2024-10-17
104.168.83.104,80363974983666420473,2024-10-17,IHS,104.168.83.104_IHS,226,2024-10-17
104.168.83.104,64853912235916233429,2024-10-17,OS,104.168.83.104_OS,887,2024-10-17
104.18.32.191,74198686107399967946,2024-10-17,VA,104.18.32.191_VA,40,2024-10-17
104.18.68.40,15920309593055310684,2024-10-17,CMS,104.18.68.40_CMS,314,2024-10-17
104.18.69.40,15920309593055310684,2024-10-17,CMS,104.18.69.40_CMS,319,2024-10-17
104.21.3.76,74198686107399967946,2024-10-17,VA,104.21.3.76_VA,14,2024-10-17
104.219.232.126,15920309593055310684,2024-10-17,CMS,104.219.232.126_CMS,67,2024-10-17
104.219.232.126,64853912235916233429,2024-10-17,OS,104.219.232.126_OS,3,2024-10-17
104.223.91.28,13983566077459384977,2024-10-17,FDA,104.223.91.28_FDA,8,2024-10-17
107.189.13.254,15920309593055310684,2024-10-17,CMS,107.189.13.254_CMS,43,2024-10-17
107.189.13.254,13520457953477229971,2024-10-17,HHS,107.189.13.254_HHS,17,2024-10-17
107.189.30.69,15920309593055310684,2024-10-17,CMS,107.189.30.69_CMS,258,2024-10-17
107.189.30.69,13520457953477229971,2024-10-17,HHS,107.189.30.69_HHS,16,2024-10-17
107.189.30.69,35664937356778434955,2024-10-17,HRSA,107.189.30.69_HRSA,24,2024-10-17
107.189.30.69,64853912235916233429,2024-10-17,OS,107.189.30.69_OS,14,2024-10-17
107.189.8.16,15920309593055310684,2024-10-17,CMS,107.189.8.16_CMS,4,2024-10-17
107.189.8.16,13520457953477229971,2024-10-17,HHS,107.189.8.16_HHS,1,2024-10-17
116.206.254.114,13520457953477229971,2024-10-17,HHS,116.206.254.114_HHS,3,2024-10-17
118.193.72.187,15920309593055310684,2024-10-17,CMS,118.193.72.187_CMS,1802,2024-10-17
118.193.72.187,13983566077459384977,2024-10-17,FDA,118.193.72.187_FDA,723,2024-10-17
118.193.72.187,13520457953477229971,2024-10-17,HHS,118.193.72.187_HHS,9828,2024-10-17
118.193.72.187,35664937356778434955,2024-10-17,HRSA,118.193.72.187_HRSA,512,2024-10-17
118.193.72.187,80363974983666420473,2024-10-17,IHS,118.193.72.187_IHS,5,2024-10-17
118.193.72.187,64853912235916233429,2024-10-17,OS,118.193.72.187_OS,2894,2024-10-17
119.200.13.201,15920309593055310684,2024-10-17,CMS,119.200.13.201_CMS,3432,2024-10-17
119.200.13.201,13983566077459384977,2024-10-17,FDA,119.200.13.201_FDA,970,2024-10-17
119.200.13.201,13520457953477229971,2024-10-17,HHS,119.200.13.201_HHS,3601,2024-10-17
119.200.13.201,35664937356778434955,2024-10-17,HRSA,119.200.13.201_HRSA,197,2024-10-17
119.200.13.201,64853912235916233429,2024-10-17,OS,119.200.13.201_OS,226,2024-10-17
122.227.183.206,15920309593055310684,2024-10-17,CMS,122.227.183.206_CMS,3381,2024-10-17
122.227.183.206,13520457953477229971,2024-10-17,HHS,122.227.183.206_HHS,84,2024-10-17
122.227.183.206,64853912235916233429,2024-10-17,OS,122.227.183.206_OS,258,2024-10-17
128.199.239.20,15920309593055310684,2024-10-17,CMS,128.199.239.20_CMS,395,2024-10-17
128.199.239.20,13520457953477229971,2024-10-17,HHS,128.199.239.20_HHS,995,2024-10-17
136.144.43.81,13520457953477229971,2024-10-17,HHS,136.144.43.81_HHS,2,2024-10-17
139.59.147.83,15920309593055310684,2024-10-17,CMS,139.59.147.83_CMS,454,2024-10-17
139.59.147.83,35664937356778434955,2024-10-17,HRSA,139.59.147.83_HRSA,171,2024-10-17
139.59.147.83,80363974983666420473,2024-10-17,IHS,139.59.147.83_IHS,28,2024-10-17
139.59.147.83,64853912235916233429,2024-10-17,OS,139.59.147.83_OS,45,2024-10-17
14.232.208.130,13520457953477229971,2024-10-17,HHS,14.232.208.130_HHS,119,2024-10-17
141.8.194.149,74198686107399967946,2024-10-17,VA,141.8.194.149_VA,1,2024-10-17
141.98.10.76,13520457953477229971,2024-10-17,HHS,141.98.10.76_HHS,1,2024-10-17
142.54.229.249,13520457953477229971,2024-10-17,HHS,142.54.229.249_HHS,1,2024-10-17
146.70.137.90,13520457953477229971,2024-10-17,HHS,146.70.137.90_HHS,13,2024-10-17
146.70.171.112,13983566077459384977,2024-10-17,FDA,146.70.171.112_FDA,4,2024-10-17
146.70.171.112,13520457953477229971,2024-10-17,HHS,146.70.171.112_HHS,2,2024-10-17
146.70.204.164,13520457953477229971,2024-10-17,HHS,146.70.204.164_HHS,3,2024-10-17
146.70.204.166,13520457953477229971,2024-10-17,HHS,146.70.204.166_HHS,18,2024-10-17
146.70.204.167,13520457953477229971,2024-10-17,HHS,146.70.204.167_HHS,6,2024-10-17
146.70.204.171,13520457953477229971,2024-10-17,HHS,146.70.204.171_HHS,7,2024-10-17
146.70.204.173,13520457953477229971,2024-10-17,HHS,146.70.204.173_HHS,12,2024-10-17
146.70.204.174,13520457953477229971,2024-10-17,HHS,146.70.204.174_HHS,10,2024-10-17
146.70.204.180,13520457953477229971,2024-10-17,HHS,146.70.204.180_HHS,2,2024-10-17
146.70.204.182,13520457953477229971,2024-10-17,HHS,146.70.204.182_HHS,11,2024-10-17
146.70.204.186,13520457953477229971,2024-10-17,HHS,146.70.204.186_HHS,5,2024-10-17
146.70.45.166,13520457953477229971,2024-10-17,HHS,146.70.45.166_HHS,352,2024-10-17
146.70.45.166,74198686107399967946,2024-10-17,VA,146.70.45.166_VA,6,2024-10-17
146.70.45.182,13520457953477229971,2024-10-17,HHS,146.70.45.182_HHS,74,2024-10-17
146.70.45.182,64853912235916233429,2024-10-17,OS,146.70.45.182_OS,6,2024-10-17
146.71.50.198,15920309593055310684,2024-10-17,CMS,146.71.50.198_CMS,34145,2024-10-17
146.71.50.198,13983566077459384977,2024-10-17,FDA,146.71.50.198_FDA,31267,2024-10-17
146.71.50.198,13520457953477229971,2024-10-17,HHS,146.71.50.198_HHS,55199,2024-10-17
146.71.50.198,35664937356778434955,2024-10-17,HRSA,146.71.50.198_HRSA,7449,2024-10-17
146.71.50.198,80363974983666420473,2024-10-17,IHS,146.71.50.198_IHS,4,2024-10-17
146.71.50.198,64853912235916233429,2024-10-17,OS,146.71.50.198_OS,2582,2024-10-17
147.45.76.186,15920309593055310684,2024-10-17,CMS,147.45.76.186_CMS,20,2024-10-17
147.45.76.186,13983566077459384977,2024-10-17,FDA,147.45.76.186_FDA,52,2024-10-17
147.45.76.186,13520457953477229971,2024-10-17,HHS,147.45.76.186_HHS,6,2024-10-17
147.45.76.186,64853912235916233429,2024-10-17,OS,147.45.76.186_OS,1,2024-10-17
149.102.224.163,13520457953477229971,2024-10-17,HHS,149.102.224.163_HHS,2,2024-10-17
149.50.216.243,13520457953477229971,2024-10-17,HHS,149.50.216.243_HHS,2,2024-10-17
149.88.17.130,13520457953477229971,2024-10-17,HHS,149.88.17.130_HHS,8,2024-10-17
149.88.17.139,15920309593055310684,2024-10-17,CMS,149.88.17.139_CMS,6,2024-10-17
149.88.17.139,13520457953477229971,2024-10-17,HHS,149.88.17.139_HHS,2,2024-10-17
149.88.27.198,13520457953477229971,2024-10-17,HHS,149.88.27.198_HHS,4,2024-10-17
149.88.27.200,13520457953477229971,2024-10-17,HHS,149.88.27.200_HHS,4,2024-10-17
149.88.27.208,13520457953477229971,2024-10-17,HHS,149.88.27.208_HHS,2,2024-10-17
149.88.27.212,13520457953477229971,2024-10-17,HHS,149.88.27.212_HHS,9,2024-10-17
