indicator,API_UserName,obs_date,OpDiv,indicator_key,observations,curr_date
102.129.153.158,74198686107399967946,2024-03-02,VA,102.129.153.158_VA,2,2024-03-02
104.18.32.191,74198686107399967946,2024-03-02,VA,104.18.32.191_VA,48,2024-03-02
104.18.32.68,00818860012482918321,2024-03-02,CDC,104.18.32.68_CDC,24,2024-03-02
104.21.94.85,74198686107399967946,2024-03-02,VA,104.21.94.85_VA,2,2024-03-02
104.37.135.145,74198686107399967946,2024-03-02,VA,104.37.135.145_VA,6,2024-03-02
108.181.100.81,74198686107399967946,2024-03-02,VA,108.181.100.81_VA,6,2024-03-02
142.4.218.114,13983566077459384977,2024-03-02,FDA,142.4.218.114_FDA,6,2024-03-02
142.4.218.114,64853912235916233429,2024-03-02,OS,142.4.218.114_OS,4,2024-03-02
146.70.103.228,74198686107399967946,2024-03-02,VA,146.70.103.228_VA,2,2024-03-02
146.70.45.166,74198686107399967946,2024-03-02,VA,146.70.45.166_VA,14,2024-03-02
146.70.72.131,64853912235916233429,2024-03-02,OS,146.70.72.131_OS,4,2024-03-02
149.34.242.50,64853912235916233429,2024-03-02,OS,149.34.242.50_OS,4,2024-03-02
155.133.5.15,64853912235916233429,2024-03-02,OS,155.133.5.15_OS,2,2024-03-02
161.35.27.144,13983566077459384977,2024-03-02,FDA,161.35.27.144_FDA,2,2024-03-02
161.35.27.144,35664937356778434955,2024-03-02,HRSA,161.35.27.144_HRSA,12,2024-03-02
161.35.27.144,64853912235916233429,2024-03-02,OS,161.35.27.144_OS,74,2024-03-02
162.243.161.105,15920309593055310684,2024-03-02,CMS,162.243.161.105_CMS,27233,2024-03-02
162.243.161.105,13983566077459384977,2024-03-02,FDA,162.243.161.105_FDA,30329,2024-03-02
162.243.161.105,13520457953477229971,2024-03-02,HHS,162.243.161.105_HHS,123,2024-03-02
162.243.161.105,35664937356778434955,2024-03-02,HRSA,162.243.161.105_HRSA,3680,2024-03-02
162.243.161.105,64853912235916233429,2024-03-02,OS,162.243.161.105_OS,36374,2024-03-02
165.22.160.179,15920309593055310684,2024-03-02,CMS,165.22.160.179_CMS,1016,2024-03-02
165.22.160.179,13983566077459384977,2024-03-02,FDA,165.22.160.179_FDA,1008,2024-03-02
165.22.160.179,13520457953477229971,2024-03-02,HHS,165.22.160.179_HHS,2,2024-03-02
165.22.160.179,35664937356778434955,2024-03-02,HRSA,165.22.160.179_HRSA,143,2024-03-02
165.22.160.179,64853912235916233429,2024-03-02,OS,165.22.160.179_OS,1382,2024-03-02
165.22.194.104,15920309593055310684,2024-03-02,CMS,165.22.194.104_CMS,6,2024-03-02
165.22.194.104,13983566077459384977,2024-03-02,FDA,165.22.194.104_FDA,7,2024-03-02
165.22.194.104,35664937356778434955,2024-03-02,HRSA,165.22.194.104_HRSA,2,2024-03-02
165.22.194.104,64853912235916233429,2024-03-02,OS,165.22.194.104_OS,10,2024-03-02
171.25.193.20,64853912235916233429,2024-03-02,OS,171.25.193.20_OS,4,2024-03-02
171.25.193.20,74198686107399967946,2024-03-02,VA,171.25.193.20_VA,21,2024-03-02
171.25.193.25,13983566077459384977,2024-03-02,FDA,171.25.193.25_FDA,2,2024-03-02
171.25.193.25,64853912235916233429,2024-03-02,OS,171.25.193.25_OS,6,2024-03-02
171.25.193.77,15920309593055310684,2024-03-02,CMS,171.25.193.77_CMS,16,2024-03-02
171.25.193.77,13983566077459384977,2024-03-02,FDA,171.25.193.77_FDA,1,2024-03-02
171.25.193.77,74198686107399967946,2024-03-02,VA,171.25.193.77_VA,48,2024-03-02
172.98.33.195,74198686107399967946,2024-03-02,VA,172.98.33.195_VA,21,2024-03-02
173.239.204.130,64853912235916233429,2024-03-02,OS,173.239.204.130_OS,2,2024-03-02
173.239.204.133,64853912235916233429,2024-03-02,OS,173.239.204.133_OS,2,2024-03-02
179.60.147.13,15920309593055310684,2024-03-02,CMS,179.60.147.13_CMS,2,2024-03-02
184.168.131.241,74198686107399967946,2024-03-02,VA,184.168.131.241_VA,1,2024-03-02
184.185.2.12,74198686107399967946,2024-03-02,VA,184.185.2.12_VA,6,2024-03-02
185.129.62.62,15920309593055310684,2024-03-02,CMS,185.129.62.62_CMS,55,2024-03-02
185.129.62.62,13983566077459384977,2024-03-02,FDA,185.129.62.62_FDA,36,2024-03-02
185.129.62.62,64853912235916233429,2024-03-02,OS,185.129.62.62_OS,92,2024-03-02
185.202.220.239,64853912235916233429,2024-03-02,OS,185.202.220.239_OS,2,2024-03-02
185.202.220.239,74198686107399967946,2024-03-02,VA,185.202.220.239_VA,14,2024-03-02
185.220.101.182,15920309593055310684,2024-03-02,CMS,185.220.101.182_CMS,23,2024-03-02
185.220.101.182,13983566077459384977,2024-03-02,FDA,185.220.101.182_FDA,34,2024-03-02
185.220.101.182,35664937356778434955,2024-03-02,HRSA,185.220.101.182_HRSA,2,2024-03-02
185.220.101.182,64853912235916233429,2024-03-02,OS,185.220.101.182_OS,35,2024-03-02
185.220.101.58,15920309593055310684,2024-03-02,CMS,185.220.101.58_CMS,24,2024-03-02
185.220.101.58,13983566077459384977,2024-03-02,FDA,185.220.101.58_FDA,22,2024-03-02
185.220.101.58,35664937356778434955,2024-03-02,HRSA,185.220.101.58_HRSA,2,2024-03-02
185.220.101.58,64853912235916233429,2024-03-02,OS,185.220.101.58_OS,15,2024-03-02
185.220.101.60,15920309593055310684,2024-03-02,CMS,185.220.101.60_CMS,9,2024-03-02
185.220.101.60,13983566077459384977,2024-03-02,FDA,185.220.101.60_FDA,14,2024-03-02
185.220.101.60,35664937356778434955,2024-03-02,HRSA,185.220.101.60_HRSA,4,2024-03-02
185.220.101.60,64853912235916233429,2024-03-02,OS,185.220.101.60_OS,28,2024-03-02
185.230.63.171,13520457953477229971,2024-03-02,HHS,185.230.63.171_HHS,12,2024-03-02
185.34.33.2,15920309593055310684,2024-03-02,CMS,185.34.33.2_CMS,3,2024-03-02
185.34.33.2,13983566077459384977,2024-03-02,FDA,185.34.33.2_FDA,8,2024-03-02
185.34.33.2,64853912235916233429,2024-03-02,OS,185.34.33.2_OS,12,2024-03-02
188.119.66.107,64853912235916233429,2024-03-02,OS,188.119.66.107_OS,22,2024-03-02
192.241.239.16,15920309593055310684,2024-03-02,CMS,192.241.239.16_CMS,6,2024-03-02
192.241.239.16,35664937356778434955,2024-03-02,HRSA,192.241.239.16_HRSA,512,2024-03-02
192.42.116.191,15920309593055310684,2024-03-02,CMS,192.42.116.191_CMS,4,2024-03-02
192.42.116.191,64853912235916233429,2024-03-02,OS,192.42.116.191_OS,5,2024-03-02
192.42.116.192,13983566077459384977,2024-03-02,FDA,192.42.116.192_FDA,1,2024-03-02
198.16.74.204,64853912235916233429,2024-03-02,OS,198.16.74.204_OS,2,2024-03-02
198.16.74.205,64853912235916233429,2024-03-02,OS,198.16.74.205_OS,2,2024-03-02
198.185.159.144,74198686107399967946,2024-03-02,VA,198.185.159.144_VA,48,2024-03-02
198.185.159.145,74198686107399967946,2024-03-02,VA,198.185.159.145_VA,48,2024-03-02
198.98.49.203,64853912235916233429,2024-03-02,OS,198.98.49.203_OS,12,2024-03-02
203.99.187.137,15920309593055310684,2024-03-02,CMS,203.99.187.137_CMS,2,2024-03-02
207.244.71.82,64853912235916233429,2024-03-02,OS,207.244.71.82_OS,37,2024-03-02
207.244.71.84,64853912235916233429,2024-03-02,OS,207.244.71.84_OS,20,2024-03-02
207.244.89.161,64853912235916233429,2024-03-02,OS,207.244.89.161_OS,26,2024-03-02
207.244.89.162,64853912235916233429,2024-03-02,OS,207.244.89.162_OS,10,2024-03-02
208.87.233.190,13983566077459384977,2024-03-02,FDA,208.87.233.190_FDA,161,2024-03-02
208.87.233.190,13520457953477229971,2024-03-02,HHS,208.87.233.190_HHS,3,2024-03-02
216.24.57.253,15920309593055310684,2024-03-02,CMS,216.24.57.253_CMS,2834,2024-03-02
