indicator,API_UserName,obs_date,OpDiv,indicator_key,observations,curr_date
102.129.153.43,15920309593055310684,2024-09-15,CMS,102.129.153.43_CMS,8,2024-09-15
102.129.153.71,15920309593055310684,2024-09-15,CMS,102.129.153.71_CMS,20,2024-09-15
103.56.61.144,15920309593055310684,2024-09-15,CMS,103.56.61.144_CMS,255,2024-09-15
103.56.61.144,13520457953477229971,2024-09-15,HHS,103.56.61.144_HHS,159716,2024-09-15
104.129.24.124,15920309593055310684,2024-09-15,CMS,104.129.24.124_CMS,512,2024-09-15
104.129.24.124,13983566077459384977,2024-09-15,FDA,104.129.24.124_FDA,6,2024-09-15
104.129.24.124,13520457953477229971,2024-09-15,HHS,104.129.24.124_HHS,437,2024-09-15
104.129.24.124,35664937356778434955,2024-09-15,HRSA,104.129.24.124_HRSA,2,2024-09-15
104.129.24.124,64853912235916233429,2024-09-15,OS,104.129.24.124_OS,30,2024-09-15
104.18.32.191,74198686107399967946,2024-09-15,VA,104.18.32.191_VA,10,2024-09-15
104.18.69.40,15920309593055310684,2024-09-15,CMS,104.18.69.40_CMS,9,2024-09-15
104.21.3.76,00818860012482918321,2024-09-15,CDC,104.21.3.76_CDC,2,2024-09-15
104.21.3.76,13520457953477229971,2024-09-15,HHS,104.21.3.76_HHS,1,2024-09-15
104.21.3.76,74198686107399967946,2024-09-15,VA,104.21.3.76_VA,2,2024-09-15
104.21.47.124,00818860012482918321,2024-09-15,CDC,104.21.47.124_CDC,1,2024-09-15
104.21.47.124,13520457953477229971,2024-09-15,HHS,104.21.47.124_HHS,3,2024-09-15
104.21.76.17,13520457953477229971,2024-09-15,HHS,104.21.76.17_HHS,2,2024-09-15
104.219.232.126,15920309593055310684,2024-09-15,CMS,104.219.232.126_CMS,46,2024-09-15
104.219.232.126,13520457953477229971,2024-09-15,HHS,104.219.232.126_HHS,30,2024-09-15
104.219.232.126,64853912235916233429,2024-09-15,OS,104.219.232.126_OS,7,2024-09-15
104.37.135.145,74198686107399967946,2024-09-15,VA,104.37.135.145_VA,36,2024-09-15
107.181.168.145,13520457953477229971,2024-09-15,HHS,107.181.168.145_HHS,1,2024-09-15
107.189.13.254,15920309593055310684,2024-09-15,CMS,107.189.13.254_CMS,16,2024-09-15
107.189.13.254,13520457953477229971,2024-09-15,HHS,107.189.13.254_HHS,22,2024-09-15
107.189.30.69,15920309593055310684,2024-09-15,CMS,107.189.30.69_CMS,90,2024-09-15
107.189.30.69,13520457953477229971,2024-09-15,HHS,107.189.30.69_HHS,15,2024-09-15
107.189.30.69,64853912235916233429,2024-09-15,OS,107.189.30.69_OS,13,2024-09-15
118.193.72.187,15920309593055310684,2024-09-15,CMS,118.193.72.187_CMS,34753,2024-09-15
118.193.72.187,13983566077459384977,2024-09-15,FDA,118.193.72.187_FDA,5120,2024-09-15
118.193.72.187,13520457953477229971,2024-09-15,HHS,118.193.72.187_HHS,5924,2024-09-15
118.193.72.187,35664937356778434955,2024-09-15,HRSA,118.193.72.187_HRSA,528,2024-09-15
118.193.72.187,64853912235916233429,2024-09-15,OS,118.193.72.187_OS,3095,2024-09-15
118.253.184.202,15920309593055310684,2024-09-15,CMS,118.253.184.202_CMS,89,2024-09-15
118.253.184.202,13983566077459384977,2024-09-15,FDA,118.253.184.202_FDA,94,2024-09-15
118.253.184.202,13520457953477229971,2024-09-15,HHS,118.253.184.202_HHS,3,2024-09-15
118.253.184.202,35664937356778434955,2024-09-15,HRSA,118.253.184.202_HRSA,23,2024-09-15
118.253.184.202,64853912235916233429,2024-09-15,OS,118.253.184.202_OS,15,2024-09-15
119.200.13.201,15920309593055310684,2024-09-15,CMS,119.200.13.201_CMS,2512,2024-09-15
119.200.13.201,13983566077459384977,2024-09-15,FDA,119.200.13.201_FDA,334,2024-09-15
119.200.13.201,13520457953477229971,2024-09-15,HHS,119.200.13.201_HHS,4,2024-09-15
119.200.13.201,35664937356778434955,2024-09-15,HRSA,119.200.13.201_HRSA,277,2024-09-15
119.200.13.201,64853912235916233429,2024-09-15,OS,119.200.13.201_OS,182,2024-09-15
119.91.235.16,15920309593055310684,2024-09-15,CMS,119.91.235.16_CMS,33303,2024-09-15
119.91.235.16,13983566077459384977,2024-09-15,FDA,119.91.235.16_FDA,887,2024-09-15
119.91.235.16,13520457953477229971,2024-09-15,HHS,119.91.235.16_HHS,5191,2024-09-15
119.91.235.16,35664937356778434955,2024-09-15,HRSA,119.91.235.16_HRSA,272,2024-09-15
119.91.235.16,64853912235916233429,2024-09-15,OS,119.91.235.16_OS,1636,2024-09-15
122.227.183.206,15920309593055310684,2024-09-15,CMS,122.227.183.206_CMS,195,2024-09-15
122.227.183.206,64853912235916233429,2024-09-15,OS,122.227.183.206_OS,19,2024-09-15
128.199.239.20,15920309593055310684,2024-09-15,CMS,128.199.239.20_CMS,1575,2024-09-15
128.199.239.20,13983566077459384977,2024-09-15,FDA,128.199.239.20_FDA,838,2024-09-15
128.199.239.20,13520457953477229971,2024-09-15,HHS,128.199.239.20_HHS,136,2024-09-15
128.199.239.20,35664937356778434955,2024-09-15,HRSA,128.199.239.20_HRSA,244,2024-09-15
128.199.239.20,64853912235916233429,2024-09-15,OS,128.199.239.20_OS,108,2024-09-15
138.185.69.244,35664937356778434955,2024-09-15,HRSA,138.185.69.244_HRSA,7,2024-09-15
138.199.21.209,13520457953477229971,2024-09-15,HHS,138.199.21.209_HHS,10,2024-09-15
138.199.53.226,15920309593055310684,2024-09-15,CMS,138.199.53.226_CMS,4,2024-09-15
14.232.208.130,15920309593055310684,2024-09-15,CMS,14.232.208.130_CMS,81,2024-09-15
14.232.208.130,13520457953477229971,2024-09-15,HHS,14.232.208.130_HHS,898,2024-09-15
141.255.160.234,15920309593055310684,2024-09-15,CMS,141.255.160.234_CMS,579,2024-09-15
141.255.160.234,13983566077459384977,2024-09-15,FDA,141.255.160.234_FDA,507402,2024-09-15
141.255.160.234,13520457953477229971,2024-09-15,HHS,141.255.160.234_HHS,572,2024-09-15
141.255.160.234,35664937356778434955,2024-09-15,HRSA,141.255.160.234_HRSA,372723,2024-09-15
141.255.160.234,64853912235916233429,2024-09-15,OS,141.255.160.234_OS,524,2024-09-15
142.4.218.114,15920309593055310684,2024-09-15,CMS,142.4.218.114_CMS,1311070,2024-09-15
142.4.218.114,13983566077459384977,2024-09-15,FDA,142.4.218.114_FDA,5,2024-09-15
142.4.218.114,13520457953477229971,2024-09-15,HHS,142.4.218.114_HHS,146158,2024-09-15
142.4.218.114,35664937356778434955,2024-09-15,HRSA,142.4.218.114_HRSA,21,2024-09-15
142.4.218.114,64853912235916233429,2024-09-15,OS,142.4.218.114_OS,48420,2024-09-15
