indicator,API_UserName,obs_date,OpDiv,indicator_key,observations,curr_date
104.18.32.191,00818860012482918321,2024-03-22,CDC,104.18.32.191_CDC,9,2024-03-22
104.18.32.191,74198686107399967946,2024-03-22,VA,104.18.32.191_VA,45,2024-03-22
104.18.32.68,00818860012482918321,2024-03-22,CDC,104.18.32.68_CDC,30,2024-03-22
104.21.94.85,74198686107399967946,2024-03-22,VA,104.21.94.85_VA,4,2024-03-22
104.37.135.145,74198686107399967946,2024-03-22,VA,104.37.135.145_VA,6,2024-03-22
108.61.171.103,00818860012482918321,2024-03-22,CDC,108.61.171.103_CDC,46,2024-03-22
138.199.21.209,35664937356778434955,2024-03-22,HRSA,138.199.21.209_HRSA,12,2024-03-22
142.4.218.114,13983566077459384977,2024-03-22,FDA,142.4.218.114_FDA,4,2024-03-22
146.70.45.166,64853912235916233429,2024-03-22,OS,146.70.45.166_OS,4,2024-03-22
146.70.45.166,74198686107399967946,2024-03-22,VA,146.70.45.166_VA,12,2024-03-22
146.70.45.221,74198686107399967946,2024-03-22,VA,146.70.45.221_VA,4,2024-03-22
161.35.27.144,13983566077459384977,2024-03-22,FDA,161.35.27.144_FDA,4,2024-03-22
161.35.27.144,64853912235916233429,2024-03-22,OS,161.35.27.144_OS,2,2024-03-22
162.241.216.236,74198686107399967946,2024-03-22,VA,162.241.216.236_VA,12,2024-03-22
171.25.193.20,74198686107399967946,2024-03-22,VA,171.25.193.20_VA,3,2024-03-22
171.25.193.77,74198686107399967946,2024-03-22,VA,171.25.193.77_VA,3,2024-03-22
171.25.193.78,74198686107399967946,2024-03-22,VA,171.25.193.78_VA,3,2024-03-22
172.98.33.195,74198686107399967946,2024-03-22,VA,172.98.33.195_VA,7,2024-03-22
173.239.204.129,15920309593055310684,2024-03-22,CMS,173.239.204.129_CMS,10,2024-03-22
173.239.204.129,13983566077459384977,2024-03-22,FDA,173.239.204.129_FDA,3,2024-03-22
184.168.131.241,74198686107399967946,2024-03-22,VA,184.168.131.241_VA,6,2024-03-22
184.170.248.5,74198686107399967946,2024-03-22,VA,184.170.248.5_VA,4,2024-03-22
185.129.62.62,15920309593055310684,2024-03-22,CMS,185.129.62.62_CMS,124,2024-03-22
185.129.62.62,13983566077459384977,2024-03-22,FDA,185.129.62.62_FDA,16,2024-03-22
185.129.62.62,35664937356778434955,2024-03-22,HRSA,185.129.62.62_HRSA,10,2024-03-22
185.129.62.62,64853912235916233429,2024-03-22,OS,185.129.62.62_OS,11,2024-03-22
185.202.220.239,74198686107399967946,2024-03-22,VA,185.202.220.239_VA,1,2024-03-22
185.220.101.182,15920309593055310684,2024-03-22,CMS,185.220.101.182_CMS,44,2024-03-22
185.220.101.182,13983566077459384977,2024-03-22,FDA,185.220.101.182_FDA,14,2024-03-22
185.220.101.182,35664937356778434955,2024-03-22,HRSA,185.220.101.182_HRSA,3,2024-03-22
185.220.101.182,64853912235916233429,2024-03-22,OS,185.220.101.182_OS,3,2024-03-22
185.220.101.58,15920309593055310684,2024-03-22,CMS,185.220.101.58_CMS,20,2024-03-22
185.220.101.58,13983566077459384977,2024-03-22,FDA,185.220.101.58_FDA,7,2024-03-22
