indicator,API_UserName,obs_date,OpDiv,indicator_key,observations,curr_date
103.172.134.26,15920309593055310684,2024-08-03,CMS,103.172.134.26_CMS,2,2024-08-03
103.172.134.26,64853912235916233429,2024-08-03,OS,103.172.134.26_OS,1,2024-08-03
103.56.61.144,15920309593055310684,2024-08-03,CMS,103.56.61.144_CMS,239,2024-08-03
103.56.61.144,13520457953477229971,2024-08-03,HHS,103.56.61.144_HHS,970,2024-08-03
104.21.3.76,74198686107399967946,2024-08-03,VA,104.21.3.76_VA,2,2024-08-03
104.21.52.108,15920309593055310684,2024-08-03,CMS,104.21.52.108_CMS,92,2024-08-03
104.21.61.32,15920309593055310684,2024-08-03,CMS,104.21.61.32_CMS,2,2024-08-03
104.219.232.126,15920309593055310684,2024-08-03,CMS,104.219.232.126_CMS,97,2024-08-03
104.219.232.126,64853912235916233429,2024-08-03,OS,104.219.232.126_OS,9,2024-08-03
104.37.135.145,64853912235916233429,2024-08-03,OS,104.37.135.145_OS,1,2024-08-03
107.189.13.254,15920309593055310684,2024-08-03,CMS,107.189.13.254_CMS,38,2024-08-03
107.189.30.69,15920309593055310684,2024-08-03,CMS,107.189.30.69_CMS,360,2024-08-03
107.189.30.69,64853912235916233429,2024-08-03,OS,107.189.30.69_OS,46,2024-08-03
118.193.72.187,15920309593055310684,2024-08-03,CMS,118.193.72.187_CMS,1277,2024-08-03
118.193.72.187,35664937356778434955,2024-08-03,HRSA,118.193.72.187_HRSA,246,2024-08-03
118.193.72.187,64853912235916233429,2024-08-03,OS,118.193.72.187_OS,2282,2024-08-03
119.91.235.16,15920309593055310684,2024-08-03,CMS,119.91.235.16_CMS,33552,2024-08-03
119.91.235.16,13983566077459384977,2024-08-03,FDA,119.91.235.16_FDA,193,2024-08-03
119.91.235.16,13520457953477229971,2024-08-03,HHS,119.91.235.16_HHS,5,2024-08-03
119.91.235.16,35664937356778434955,2024-08-03,HRSA,119.91.235.16_HRSA,120,2024-08-03
119.91.235.16,64853912235916233429,2024-08-03,OS,119.91.235.16_OS,2952,2024-08-03
13.107.136.10,15920309593055310684,2024-08-03,CMS,13.107.136.10_CMS,151381,2024-08-03
13.107.138.10,15920309593055310684,2024-08-03,CMS,13.107.138.10_CMS,145114,2024-08-03
142.4.218.114,15920309593055310684,2024-08-03,CMS,142.4.218.114_CMS,829355,2024-08-03
