indicator,API_UserName,obs_date,OpDiv,indicator_key,observations,curr_date
102.129.153.158,00818860012482918321,2024-12-20,CDC,102.129.153.158_CDC,1,2024-12-20
103.151.172.28,13983566077459384977,2024-12-20,FDA,103.151.172.28_FDA,136,2024-12-20
104.18.32.191,15920309593055310684,2024-12-20,CMS,104.18.32.191_CMS,44,2024-12-20
104.18.68.40,15920309593055310684,2024-12-20,CMS,104.18.68.40_CMS,82,2024-12-20
104.18.69.40,15920309593055310684,2024-12-20,CMS,104.18.69.40_CMS,223,2024-12-20
104.21.47.124,00818860012482918321,2024-12-20,CDC,104.21.47.124_CDC,5,2024-12-20
104.21.61.32,00818860012482918321,2024-12-20,CDC,104.21.61.32_CDC,8,2024-12-20
118.193.72.187,15920309593055310684,2024-12-20,CMS,118.193.72.187_CMS,9802,2024-12-20
118.193.72.187,13983566077459384977,2024-12-20,FDA,118.193.72.187_FDA,2997,2024-12-20
118.193.72.187,80363974983666420473,2024-12-20,IHS,118.193.72.187_IHS,3,2024-12-20
118.193.72.187,64853912235916233429,2024-12-20,OS,118.193.72.187_OS,9,2024-12-20
119.200.13.201,15920309593055310684,2024-12-20,CMS,119.200.13.201_CMS,558,2024-12-20
119.200.13.201,13983566077459384977,2024-12-20,FDA,119.200.13.201_FDA,799,2024-12-20
119.200.13.201,80363974983666420473,2024-12-20,IHS,119.200.13.201_IHS,6,2024-12-20
146.70.204.169,15920309593055310684,2024-12-20,CMS,146.70.204.169_CMS,4,2024-12-20
146.70.204.189,15920309593055310684,2024-12-20,CMS,146.70.204.189_CMS,1,2024-12-20
146.70.45.166,64853912235916233429,2024-12-20,OS,146.70.45.166_OS,3,2024-12-20
146.71.50.198,00818860012482918321,2024-12-20,CDC,146.71.50.198_CDC,2,2024-12-20
146.71.50.198,15920309593055310684,2024-12-20,CMS,146.71.50.198_CMS,10666,2024-12-20
146.71.50.198,13983566077459384977,2024-12-20,FDA,146.71.50.198_FDA,16693,2024-12-20
146.71.50.198,80363974983666420473,2024-12-20,IHS,146.71.50.198_IHS,6,2024-12-20
146.71.50.198,64853912235916233429,2024-12-20,OS,146.71.50.198_OS,5,2024-12-20
147.45.112.17,15920309593055310684,2024-12-20,CMS,147.45.112.17_CMS,9691,2024-12-20
147.45.112.17,13983566077459384977,2024-12-20,FDA,147.45.112.17_FDA,9,2024-12-20
147.45.112.17,64853912235916233429,2024-12-20,OS,147.45.112.17_OS,1,2024-12-20
147.45.112.222,15920309593055310684,2024-12-20,CMS,147.45.112.222_CMS,10846,2024-12-20
147.45.112.222,13983566077459384977,2024-12-20,FDA,147.45.112.222_FDA,7,2024-12-20
147.45.76.186,15920309593055310684,2024-12-20,CMS,147.45.76.186_CMS,8,2024-12-20
147.45.76.186,13983566077459384977,2024-12-20,FDA,147.45.76.186_FDA,20,2024-12-20
149.36.49.225,00818860012482918321,2024-12-20,CDC,149.36.49.225_CDC,3,2024-12-20
15.235.218.150,15920309593055310684,2024-12-20,CMS,15.235.218.150_CMS,6,2024-12-20
152.32.128.214,15920309593055310684,2024-12-20,CMS,152.32.128.214_CMS,2039,2024-12-20
152.32.128.214,13983566077459384977,2024-12-20,FDA,152.32.128.214_FDA,2901,2024-12-20
152.32.128.214,80363974983666420473,2024-12-20,IHS,152.32.128.214_IHS,5,2024-12-20
156.146.63.130,00818860012482918321,2024-12-20,CDC,156.146.63.130_CDC,2,2024-12-20
156.146.63.131,00818860012482918321,2024-12-20,CDC,156.146.63.131_CDC,2,2024-12-20
156.146.63.165,00818860012482918321,2024-12-20,CDC,156.146.63.165_CDC,10,2024-12-20
156.146.63.166,00818860012482918321,2024-12-20,CDC,156.146.63.166_CDC,9,2024-12-20
156.146.63.168,00818860012482918321,2024-12-20,CDC,156.146.63.168_CDC,2,2024-12-20
156.146.63.178,00818860012482918321,2024-12-20,CDC,156.146.63.178_CDC,5,2024-12-20
156.146.63.179,00818860012482918321,2024-12-20,CDC,156.146.63.179_CDC,3,2024-12-20
162.142.125.242,15920309593055310684,2024-12-20,CMS,162.142.125.242_CMS,84164,2024-12-20
162.142.125.242,13983566077459384977,2024-12-20,FDA,162.142.125.242_FDA,117922,2024-12-20
162.142.125.242,80363974983666420473,2024-12-20,IHS,162.142.125.242_IHS,19,2024-12-20
162.142.125.242,64853912235916233429,2024-12-20,OS,162.142.125.242_OS,39,2024-12-20
162.142.125.247,00818860012482918321,2024-12-20,CDC,162.142.125.247_CDC,2,2024-12-20
162.142.125.247,15920309593055310684,2024-12-20,CMS,162.142.125.247_CMS,84180,2024-12-20
162.142.125.247,13983566077459384977,2024-12-20,FDA,162.142.125.247_FDA,118391,2024-12-20
162.142.125.247,80363974983666420473,2024-12-20,IHS,162.142.125.247_IHS,31,2024-12-20
162.142.125.247,64853912235916233429,2024-12-20,OS,162.142.125.247_OS,46,2024-12-20
162.142.125.255,00818860012482918321,2024-12-20,CDC,162.142.125.255_CDC,2,2024-12-20
162.142.125.255,15920309593055310684,2024-12-20,CMS,162.142.125.255_CMS,83599,2024-12-20
162.142.125.255,13983566077459384977,2024-12-20,FDA,162.142.125.255_FDA,117863,2024-12-20
162.142.125.255,80363974983666420473,2024-12-20,IHS,162.142.125.255_IHS,16,2024-12-20
162.142.125.255,64853912235916233429,2024-12-20,OS,162.142.125.255_OS,39,2024-12-20
165.22.54.16,15920309593055310684,2024-12-20,CMS,165.22.54.16_CMS,220,2024-12-20
171.25.193.20,13983566077459384977,2024-12-20,FDA,171.25.193.20_FDA,673,2024-12-20
171.25.193.77,13983566077459384977,2024-12-20,FDA,171.25.193.77_FDA,4,2024-12-20
171.25.193.78,13983566077459384977,2024-12-20,FDA,171.25.193.78_FDA,662,2024-12-20
172.104.131.24,15920309593055310684,2024-12-20,CMS,172.104.131.24_CMS,73411,2024-12-20
172.240.108.68,00818860012482918321,2024-12-20,CDC,172.240.108.68_CDC,9,2024-12-20
172.240.108.68,15920309593055310684,2024-12-20,CMS,172.240.108.68_CMS,48,2024-12-20
172.240.108.68,80363974983666420473,2024-12-20,IHS,172.240.108.68_IHS,499,2024-12-20
173.254.104.138,00818860012482918321,2024-12-20,CDC,173.254.104.138_CDC,51,2024-12-20
178.175.129.35,00818860012482918321,2024-12-20,CDC,178.175.129.35_CDC,2,2024-12-20
183.215.194.158,15920309593055310684,2024-12-20,CMS,183.215.194.158_CMS,96,2024-12-20
183.215.194.158,13983566077459384977,2024-12-20,FDA,183.215.194.158_FDA,156,2024-12-20
185.220.100.240,13983566077459384977,2024-12-20,FDA,185.220.100.240_FDA,120,2024-12-20
185.220.100.240,80363974983666420473,2024-12-20,IHS,185.220.100.240_IHS,2495,2024-12-20
185.220.101.149,13983566077459384977,2024-12-20,FDA,185.220.101.149_FDA,1,2024-12-20
185.220.101.182,13983566077459384977,2024-12-20,FDA,185.220.101.182_FDA,2,2024-12-20
185.220.101.58,15920309593055310684,2024-12-20,CMS,185.220.101.58_CMS,4,2024-12-20
185.220.101.58,13983566077459384977,2024-12-20,FDA,185.220.101.58_FDA,1,2024-12-20
