indicator,API_UserName,obs_date,OpDiv,indicator_key,observations,curr_date
104.18.32.191,15920309593055310684,2025-01-10,CMS,104.18.32.191_CMS,12,2025-01-10
104.18.68.40,15920309593055310684,2025-01-10,CMS,104.18.68.40_CMS,200,2025-01-10
104.18.69.40,15920309593055310684,2025-01-10,CMS,104.18.69.40_CMS,154,2025-01-10
104.21.61.32,00818860012482918321,2025-01-10,CDC,104.21.61.32_CDC,5,2025-01-10
118.193.72.187,15920309593055310684,2025-01-10,CMS,118.193.72.187_CMS,20721,2025-01-10
118.193.72.187,13983566077459384977,2025-01-10,FDA,118.193.72.187_FDA,2298,2025-01-10
118.193.72.187,80363974983666420473,2025-01-10,IHS,118.193.72.187_IHS,1,2025-01-10
118.193.72.187,64853912235916233429,2025-01-10,OS,118.193.72.187_OS,3351,2025-01-10
119.200.13.201,15920309593055310684,2025-01-10,CMS,119.200.13.201_CMS,1441,2025-01-10
119.200.13.201,13983566077459384977,2025-01-10,FDA,119.200.13.201_FDA,1042,2025-01-10
119.200.13.201,80363974983666420473,2025-01-10,IHS,119.200.13.201_IHS,6,2025-01-10
119.200.13.201,64853912235916233429,2025-01-10,OS,119.200.13.201_OS,309,2025-01-10
136.144.43.81,15920309593055310684,2025-01-10,CMS,136.144.43.81_CMS,35,2025-01-10
141.98.252.143,15920309593055310684,2025-01-10,CMS,141.98.252.143_CMS,8,2025-01-10
146.70.192.174,15920309593055310684,2025-01-10,CMS,146.70.192.174_CMS,1,2025-01-10
146.70.45.166,64853912235916233429,2025-01-10,OS,146.70.45.166_OS,4,2025-01-10
146.71.50.198,15920309593055310684,2025-01-10,CMS,146.71.50.198_CMS,36317,2025-01-10
146.71.50.198,13983566077459384977,2025-01-10,FDA,146.71.50.198_FDA,24530,2025-01-10
146.71.50.198,64853912235916233429,2025-01-10,OS,146.71.50.198_OS,6345,2025-01-10
147.45.112.17,15920309593055310684,2025-01-10,CMS,147.45.112.17_CMS,32143,2025-01-10
147.45.112.17,13983566077459384977,2025-01-10,FDA,147.45.112.17_FDA,18,2025-01-10
147.45.112.17,80363974983666420473,2025-01-10,IHS,147.45.112.17_IHS,1,2025-01-10
147.45.112.17,64853912235916233429,2025-01-10,OS,147.45.112.17_OS,3,2025-01-10
147.45.112.222,15920309593055310684,2025-01-10,CMS,147.45.112.222_CMS,25537,2025-01-10
147.45.112.222,13983566077459384977,2025-01-10,FDA,147.45.112.222_FDA,21,2025-01-10
147.45.112.222,64853912235916233429,2025-01-10,OS,147.45.112.222_OS,4,2025-01-10
147.45.76.186,15920309593055310684,2025-01-10,CMS,147.45.76.186_CMS,36,2025-01-10
147.45.76.186,13983566077459384977,2025-01-10,FDA,147.45.76.186_FDA,4,2025-01-10
147.45.76.186,64853912235916233429,2025-01-10,OS,147.45.76.186_OS,10,2025-01-10
149.88.27.199,15920309593055310684,2025-01-10,CMS,149.88.27.199_CMS,916,2025-01-10
149.88.27.205,15920309593055310684,2025-01-10,CMS,149.88.27.205_CMS,1,2025-01-10
149.88.27.224,15920309593055310684,2025-01-10,CMS,149.88.27.224_CMS,1,2025-01-10
15.204.47.3,15920309593055310684,2025-01-10,CMS,15.204.47.3_CMS,273,2025-01-10
152.32.128.214,15920309593055310684,2025-01-10,CMS,152.32.128.214_CMS,4325,2025-01-10
152.32.128.214,13983566077459384977,2025-01-10,FDA,152.32.128.214_FDA,3091,2025-01-10
152.32.128.214,80363974983666420473,2025-01-10,IHS,152.32.128.214_IHS,3,2025-01-10
152.32.128.214,64853912235916233429,2025-01-10,OS,152.32.128.214_OS,768,2025-01-10
154.216.19.161,13983566077459384977,2025-01-10,FDA,154.216.19.161_FDA,91,2025-01-10
156.146.63.172,00818860012482918321,2025-01-10,CDC,156.146.63.172_CDC,3,2025-01-10
156.146.63.178,00818860012482918321,2025-01-10,CDC,156.146.63.178_CDC,1,2025-01-10
156.146.63.181,00818860012482918321,2025-01-10,CDC,156.146.63.181_CDC,3,2025-01-10
162.142.125.242,00818860012482918321,2025-01-10,CDC,162.142.125.242_CDC,5,2025-01-10
162.142.125.242,15920309593055310684,2025-01-10,CMS,162.142.125.242_CMS,218158,2025-01-10
162.142.125.242,13983566077459384977,2025-01-10,FDA,162.142.125.242_FDA,157199,2025-01-10
162.142.125.242,80363974983666420473,2025-01-10,IHS,162.142.125.242_IHS,22,2025-01-10
162.142.125.242,64853912235916233429,2025-01-10,OS,162.142.125.242_OS,41999,2025-01-10
162.142.125.247,00818860012482918321,2025-01-10,CDC,162.142.125.247_CDC,2,2025-01-10
162.142.125.247,15920309593055310684,2025-01-10,CMS,162.142.125.247_CMS,165123,2025-01-10
162.142.125.247,13983566077459384977,2025-01-10,FDA,162.142.125.247_FDA,157399,2025-01-10
162.142.125.255,00818860012482918321,2025-01-10,CDC,162.142.125.255_CDC,2,2025-01-10
162.142.125.255,15920309593055310684,2025-01-10,CMS,162.142.125.255_CMS,218527,2025-01-10
162.142.125.255,13983566077459384977,2025-01-10,FDA,162.142.125.255_FDA,156935,2025-01-10
162.142.125.255,80363974983666420473,2025-01-10,IHS,162.142.125.255_IHS,18,2025-01-10
162.142.125.255,64853912235916233429,2025-01-10,OS,162.142.125.255_OS,42179,2025-01-10
165.22.54.16,15920309593055310684,2025-01-10,CMS,165.22.54.16_CMS,7,2025-01-10
171.25.193.20,15920309593055310684,2025-01-10,CMS,171.25.193.20_CMS,8,2025-01-10
172.240.108.68,00818860012482918321,2025-01-10,CDC,172.240.108.68_CDC,13,2025-01-10
172.240.108.68,15920309593055310684,2025-01-10,CMS,172.240.108.68_CMS,32,2025-01-10
172.240.108.68,80363974983666420473,2025-01-10,IHS,172.240.108.68_IHS,16,2025-01-10
183.215.194.158,15920309593055310684,2025-01-10,CMS,183.215.194.158_CMS,211,2025-01-10
183.215.194.158,13983566077459384977,2025-01-10,FDA,183.215.194.158_FDA,196,2025-01-10
183.215.194.158,64853912235916233429,2025-01-10,OS,183.215.194.158_OS,42,2025-01-10
185.220.100.240,13983566077459384977,2025-01-10,FDA,185.220.100.240_FDA,1,2025-01-10
185.220.100.240,80363974983666420473,2025-01-10,IHS,185.220.100.240_IHS,4,2025-01-10
185.220.101.60,13983566077459384977,2025-01-10,FDA,185.220.101.60_FDA,3,2025-01-10
185.230.63.171,00818860012482918321,2025-01-10,CDC,185.230.63.171_CDC,8,2025-01-10
185.230.63.171,15920309593055310684,2025-01-10,CMS,185.230.63.171_CMS,7,2025-01-10
185.230.63.171,35664937356778434955,2025-01-10,HRSA,185.230.63.171_HRSA,22,2025-01-10
185.230.63.171,80363974983666420473,2025-01-10,IHS,185.230.63.171_IHS,368,2025-01-10
185.241.208.204,64853912235916233429,2025-01-10,OS,185.241.208.204_OS,17,2025-01-10
185.247.184.105,15920309593055310684,2025-01-10,CMS,185.247.184.105_CMS,4,2025-01-10
