indicator,API_UserName,obs_date,OpDiv,indicator_key,observations,curr_date
104.18.32.191,13520457953477229971,2024-01-29,HHS,104.18.32.191_HHS,2,2024-01-29
104.18.32.191,74198686107399967946,2024-01-29,VA,104.18.32.191_VA,48,2024-01-29
104.18.32.68,00818860012482918321,2024-01-29,CDC,104.18.32.68_CDC,12,2024-01-29
104.18.32.68,13520457953477229971,2024-01-29,HHS,104.18.32.68_HHS,4,2024-01-29
104.18.32.68,35664937356778434955,2024-01-29,HRSA,104.18.32.68_HRSA,2,2024-01-29
104.21.2.24,74198686107399967946,2024-01-29,VA,104.21.2.24_VA,1,2024-01-29
104.21.8.16,00818860012482918321,2024-01-29,CDC,104.21.8.16_CDC,30,2024-01-29
104.21.8.16,13520457953477229971,2024-01-29,HHS,104.21.8.16_HHS,1,2024-01-29
104.26.5.196,00818860012482918321,2024-01-29,CDC,104.26.5.196_CDC,3,2024-01-29
123.254.109.77,15920309593055310684,2024-01-29,CMS,123.254.109.77_CMS,981,2024-01-29
123.254.109.77,13520457953477229971,2024-01-29,HHS,123.254.109.77_HHS,3095,2024-01-29
123.254.109.77,64853912235916233429,2024-01-29,OS,123.254.109.77_OS,1425,2024-01-29
138.199.21.209,15920309593055310684,2024-01-29,CMS,138.199.21.209_CMS,12,2024-01-29
139.59.107.152,64853912235916233429,2024-01-29,OS,139.59.107.152_OS,2,2024-01-29
146.70.45.166,13520457953477229971,2024-01-29,HHS,146.70.45.166_HHS,45,2024-01-29
146.70.45.182,13520457953477229971,2024-01-29,HHS,146.70.45.182_HHS,37,2024-01-29
149.154.158.154,74198686107399967946,2024-01-29,VA,149.154.158.154_VA,10,2024-01-29
149.34.242.50,13520457953477229971,2024-01-29,HHS,149.34.242.50_HHS,1,2024-01-29
154.6.12.53,74198686107399967946,2024-01-29,VA,154.6.12.53_VA,4,2024-01-29
162.210.194.35,13520457953477229971,2024-01-29,HHS,162.210.194.35_HHS,94,2024-01-29
162.210.194.35,64853912235916233429,2024-01-29,OS,162.210.194.35_OS,54,2024-01-29
171.25.193.20,15920309593055310684,2024-01-29,CMS,171.25.193.20_CMS,6,2024-01-29
171.25.193.20,13983566077459384977,2024-01-29,FDA,171.25.193.20_FDA,16,2024-01-29
171.25.193.20,13520457953477229971,2024-01-29,HHS,171.25.193.20_HHS,1,2024-01-29
171.25.193.20,64853912235916233429,2024-01-29,OS,171.25.193.20_OS,8,2024-01-29
171.25.193.20,74198686107399967946,2024-01-29,VA,171.25.193.20_VA,3,2024-01-29
171.25.193.25,15920309593055310684,2024-01-29,CMS,171.25.193.25_CMS,10,2024-01-29
171.25.193.25,35664937356778434955,2024-01-29,HRSA,171.25.193.25_HRSA,6,2024-01-29
171.25.193.25,64853912235916233429,2024-01-29,OS,171.25.193.25_OS,9,2024-01-29
171.25.193.77,15920309593055310684,2024-01-29,CMS,171.25.193.77_CMS,17,2024-01-29
171.25.193.77,13983566077459384977,2024-01-29,FDA,171.25.193.77_FDA,4,2024-01-29
171.25.193.77,64853912235916233429,2024-01-29,OS,171.25.193.77_OS,9,2024-01-29
171.25.193.77,74198686107399967946,2024-01-29,VA,171.25.193.77_VA,48,2024-01-29
171.25.193.78,15920309593055310684,2024-01-29,CMS,171.25.193.78_CMS,18,2024-01-29
171.25.193.78,13983566077459384977,2024-01-29,FDA,171.25.193.78_FDA,10,2024-01-29
171.25.193.78,13520457953477229971,2024-01-29,HHS,171.25.193.78_HHS,1,2024-01-29
171.25.193.78,64853912235916233429,2024-01-29,OS,171.25.193.78_OS,21,2024-01-29
171.25.193.78,74198686107399967946,2024-01-29,VA,171.25.193.78_VA,54,2024-01-29
172.98.33.195,13520457953477229971,2024-01-29,HHS,172.98.33.195_HHS,2,2024-01-29
172.98.33.195,74198686107399967946,2024-01-29,VA,172.98.33.195_VA,27,2024-01-29
